C-rate	Cycle number	Charge capacity (Ah)	Discharge capacity (Ah)
20	1	6.693425e-07	6.446169e-07
20	2	6.681569e-07	6.475237e-07
20	3	6.671722e-07	6.471250e-07
50	1	6.569255e-07	6.440894e-07
50	2	6.522660e-07	6.481494e-07
50	3	6.490716e-07	6.473060e-07
100	1	6.436533e-07	6.389479e-07
100	2	6.410079e-07	6.388140e-07
100	3	6.409801e-07	6.388435e-07
