Cycle number	Half cycle number	Elapsed time (s)	Potential (V)	Current (A)
1	1	9.792307e-03	1.628876e-03	-2.191901e-06
1	1	9.870320e-02	8.205414e-03	2.002561e-05
1	1	1.866366e-01	8.926392e-03	2.002180e-05
1	1	2.792048e-01	9.746552e-03	2.002311e-05
1	1	3.668093e-01	1.059341e-02	2.002048e-05
1	1	4.548436e-01	1.134109e-02	2.002537e-05
1	1	5.430126e-01	1.222992e-02	2.001977e-05
1	1	6.306359e-01	1.293182e-02	2.002227e-05
1	1	7.189901e-01	1.374054e-02	2.002060e-05
1	1	8.062871e-01	1.466370e-02	2.001762e-05
1	1	8.951402e-01	1.544189e-02	2.002132e-05
1	1	9.824200e-01	1.604080e-02	2.001762e-05
1	1	1.071266e+00	1.692200e-02	2.002013e-05
1	1	1.159342e+00	1.769257e-02	2.002156e-05
1	1	1.246601e+00	1.848602e-02	2.002132e-05
1	1	1.334457e+00	1.928329e-02	2.001846e-05
1	1	1.422527e+00	2.004623e-02	2.001929e-05
1	1	1.510869e+00	2.088928e-02	2.001715e-05
1	1	1.598467e+00	2.175903e-02	2.002215e-05
1	1	1.686735e+00	2.238464e-02	2.002037e-05
1	1	1.774952e+00	2.328491e-02	2.001858e-05
1	1	1.862820e+00	2.402115e-02	2.001834e-05
1	1	1.950982e+00	2.473831e-02	2.001691e-05
1	1	2.038374e+00	2.550888e-02	2.002239e-05
1	1	2.127360e+00	2.634811e-02	2.001846e-05
1	1	2.214599e+00	2.712631e-02	2.001834e-05
1	1	2.303069e+00	2.787399e-02	2.002037e-05
1	1	2.390608e+00	2.864456e-02	2.002203e-05
1	1	2.478406e+00	2.947235e-02	2.002108e-05
1	1	2.566983e+00	3.010941e-02	2.001452e-05
1	1	2.654321e+00	3.096390e-02	2.001822e-05
1	1	2.743137e+00	3.180695e-02	2.001607e-05
1	1	2.831185e+00	3.253555e-02	2.001834e-05
1	1	2.918392e+00	3.332520e-02	2.001965e-05
1	1	3.006898e+00	3.412628e-02	2.001941e-05
1	1	3.095308e+00	3.495789e-02	2.001965e-05
1	1	3.182448e+00	3.566742e-02	2.001929e-05
1	1	3.271128e+00	3.643417e-02	2.001953e-05
1	1	3.358962e+00	3.727722e-02	2.001917e-05
1	1	3.447043e+00	3.792191e-02	2.001917e-05
1	1	3.534752e+00	3.876877e-02	2.001953e-05
1	1	3.622673e+00	3.951263e-02	2.001667e-05
1	1	3.710998e+00	4.032898e-02	2.002025e-05
1	1	3.798321e+00	4.114914e-02	2.001619e-05
1	1	3.886615e+00	4.176331e-02	2.002311e-05
1	1	3.974733e+00	4.266739e-02	2.002037e-05
1	1	4.062581e+00	4.350662e-02	2.002394e-05
1	1	4.150755e+00	4.413605e-02	2.002192e-05
1	1	4.238720e+00	4.496765e-02	2.001679e-05
1	1	4.326772e+00	4.576111e-02	2.002239e-05
1	1	4.415334e+00	4.653931e-02	2.001929e-05
1	1	4.502680e+00	4.731750e-02	2.001989e-05
1	1	4.590440e+00	4.802322e-02	2.002060e-05
1	1	4.678520e+00	4.876328e-02	2.002132e-05
1	1	4.767108e+00	4.957962e-02	2.002048e-05
1	1	4.854554e+00	5.036926e-02	2.002490e-05
1	1	4.943063e+00	5.118942e-02	2.002084e-05
1	1	5.030773e+00	5.185699e-02	2.001822e-05
1	1	5.118502e+00	5.266190e-02	2.002072e-05
1	1	5.207204e+00	5.338669e-02	2.001917e-05
1	1	5.295220e+00	5.420685e-02	2.002001e-05
1	1	5.383039e+00	5.486298e-02	2.002001e-05
1	1	5.470802e+00	5.559158e-02	2.001894e-05
1	1	5.559108e+00	5.643463e-02	2.001631e-05
1	1	5.646775e+00	5.725098e-02	2.002180e-05
1	1	5.734730e+00	5.797577e-02	2.001798e-05
1	1	5.822966e+00	5.871964e-02	2.001870e-05
1	1	5.911267e+00	5.952835e-02	2.002156e-05
1	1	5.998854e+00	6.020737e-02	2.001512e-05
1	1	6.086657e+00	6.102371e-02	2.001977e-05
1	1	6.175344e+00	6.191635e-02	2.002203e-05
1	1	6.263047e+00	6.253433e-02	2.002323e-05
1	1	6.350610e+00	6.335068e-02	2.001882e-05
1	1	6.438846e+00	6.414795e-02	2.001727e-05
1	1	6.527342e+00	6.499863e-02	2.002358e-05
1	1	6.614632e+00	6.569290e-02	2.001929e-05
1	1	6.702900e+00	6.639862e-02	2.002192e-05
1	1	6.790688e+00	6.705856e-02	2.001381e-05
1	1	6.878572e+00	6.791306e-02	2.001941e-05
1	1	6.966941e+00	6.869507e-02	2.001846e-05
1	1	7.054985e+00	6.938171e-02	2.001464e-05
1	1	7.142519e+00	7.022095e-02	2.002001e-05
1	1	7.230538e+00	7.104492e-02	2.001822e-05
1	1	7.318843e+00	7.179642e-02	2.002108e-05
1	1	7.406608e+00	7.251358e-02	2.001941e-05
1	1	7.494615e+00	7.335281e-02	2.002013e-05
1	1	7.582619e+00	7.403183e-02	2.001607e-05
1	1	7.670559e+00	7.491684e-02	2.001989e-05
1	1	7.758468e+00	7.564163e-02	2.001786e-05
1	1	7.846460e+00	7.631683e-02	2.001858e-05
1	1	7.934756e+00	7.721329e-02	2.002013e-05
1	1	8.022437e+00	7.778931e-02	2.001858e-05
1	1	8.110770e+00	7.857895e-02	2.002037e-05
1	1	8.198533e+00	7.939529e-02	2.001965e-05
1	1	8.286538e+00	8.006287e-02	2.001917e-05
1	1	8.374559e+00	8.091354e-02	2.002156e-05
