C-rate	Cycle number	Half cycle number	Elapsed time (s)	Elapsed C-rate time (s)	Potential (V)	Current (A)
20	1	1	1.070078e-02	1.069990e-02	5.722046e-04	-3.902078e-06
20	1	1	1.026105e-01	1.026104e-01	3.677368e-03	6.452918e-06
20	1	1	1.907994e-01	1.907993e-01	3.841400e-03	6.450057e-06
20	1	1	2.785421e-01	2.785426e-01	4.276276e-03	6.450176e-06
20	1	1	3.671922e-01	3.671929e-01	4.554749e-03	6.449103e-06
20	1	1	4.547567e-01	4.547571e-01	4.741669e-03	6.446004e-06
20	1	1	5.425214e-01	5.425214e-01	5.046844e-03	6.450415e-06
20	1	1	6.313470e-01	6.313488e-01	5.344391e-03	6.447911e-06
20	1	1	7.191903e-01	7.191906e-01	5.596161e-03	6.449699e-06
20	1	1	8.070770e-01	8.070769e-01	5.870819e-03	6.447077e-06
20	1	1	8.947189e-01	8.947189e-01	6.107330e-03	6.449699e-06
20	1	1	9.826267e-01	9.826278e-01	6.389618e-03	6.446362e-06
20	1	1	1.070563e+00	1.070563e+00	6.683350e-03	6.446958e-06
20	1	1	1.158736e+00	1.158736e+00	6.839752e-03	6.449938e-06
20	1	1	1.246631e+00	1.246631e+00	7.061005e-03	6.448865e-06
20	1	1	1.334558e+00	1.334558e+00	7.434845e-03	6.449103e-06
20	1	1	1.422478e+00	1.422478e+00	7.671356e-03	6.444812e-06
20	1	1	1.510991e+00	1.510991e+00	7.850647e-03	6.446838e-06
20	1	1	1.598995e+00	1.598995e+00	8.255005e-03	6.448627e-06
20	1	1	1.686892e+00	1.686892e+00	8.476257e-03	6.448388e-06
20	1	1	1.774778e+00	1.774778e+00	8.735657e-03	6.448507e-06
20	1	1	1.862638e+00	1.862637e+00	9.048462e-03	6.451726e-06
20	1	1	1.950507e+00	1.950508e+00	9.304047e-03	6.448984e-06
20	1	1	2.038440e+00	2.038440e+00	9.590149e-03	6.450295e-06
20	1	1	2.126654e+00	2.126654e+00	9.769440e-03	6.447077e-06
20	1	1	2.214550e+00	2.214550e+00	1.015091e-02	6.449461e-06
