Cycle number	Elapsed time (s)	Potential (V)	Current (A)
1	1.863425e-01	2.883911e-03	3.196001e-07
1	2.777896e-01	4.669189e-03	1.285410e-05
1	3.663706e-01	6.340027e-03	2.169561e-05
1	4.542041e-01	8.186340e-03	2.854395e-05
1	5.423614e-01	9.841919e-03	3.286910e-05
1	6.297208e-01	1.173782e-02	3.614986e-05
1	7.182114e-01	1.340103e-02	3.855681e-05
1	8.060035e-01	1.523590e-02	4.030430e-05
1	8.945193e-01	1.683807e-02	4.112792e-05
1	9.826794e-01	1.875687e-02	4.218185e-05
1	1.070278e+00	2.059555e-02	4.284191e-05
1	1.158522e+00	2.229309e-02	4.374158e-05
1	1.246638e+00	2.391052e-02	4.410887e-05
1	1.334433e+00	2.572250e-02	4.420173e-05
1	1.422072e+00	2.759171e-02	4.460049e-05
1	1.510096e+00	2.927780e-02	4.486871e-05
1	1.598109e+00	3.100586e-02	4.509056e-05
1	1.685868e+00	3.285599e-02	4.505694e-05
1	1.773938e+00	3.453064e-02	4.550266e-05
1	1.862197e+00	3.634262e-02	4.533386e-05
1	1.950122e+00	3.805923e-02	4.550564e-05
1	2.038443e+00	3.990555e-02	4.537392e-05
1	2.126540e+00	4.154587e-02	4.546511e-05
1	2.214237e+00	4.333115e-02	4.564846e-05
1	2.302148e+00	4.510117e-02	4.569149e-05
1	2.390754e+00	4.690933e-02	4.556370e-05
1	2.478105e+00	4.872131e-02	4.577267e-05
1	2.566011e+00	5.038834e-02	4.575729e-05
1	2.654776e+00	5.206680e-02	4.578519e-05
1	2.742380e+00	5.404663e-02	4.630733e-05
1	2.830040e+00	5.566025e-02	4.595172e-05
1	2.918623e+00	5.748367e-02	4.601419e-05
1	3.006405e+00	5.917358e-02	4.606998e-05
1	3.093850e+00	6.101608e-02	4.613781e-05
1	3.181879e+00	6.277466e-02	4.611599e-05
1	3.270025e+00	6.451035e-02	4.626906e-05
1	3.358291e+00	6.619644e-02	4.652703e-05
1	3.446619e+00	6.801605e-02	4.635882e-05
1	3.534482e+00	6.985855e-02	4.672754e-05
1	3.621964e+00	7.154846e-02	4.626608e-05
1	3.709888e+00	7.324219e-02	4.608405e-05
1	3.798297e+00	7.504654e-02	4.630506e-05
1	3.886132e+00	7.678604e-02	4.648387e-05
1	3.974412e+00	7.849884e-02	4.667568e-05
1	4.062470e+00	8.031464e-02	4.638958e-05
1	4.150492e+00	8.207703e-02	4.623485e-05
1	4.238128e+00	8.380508e-02	4.646337e-05
1	4.326104e+00	8.567810e-02	4.658604e-05
1	4.414563e+00	8.739090e-02	4.679155e-05
1	4.502484e+00	8.923340e-02	4.660559e-05
1	4.590433e+00	9.070206e-02	4.627609e-05
1	4.678363e+00	9.274673e-02	4.687178e-05
1	4.766136e+00	9.440613e-02	4.644644e-05
1	4.854021e+00	9.611893e-02	4.667306e-05
1	4.942255e+00	9.779358e-02	4.626584e-05
1	5.030031e+00	9.965897e-02	4.692149e-05
1	5.118192e+00	1.014366e-01	4.677999e-05
1	5.206085e+00	1.032562e-01	4.703009e-05
1	5.294604e+00	1.050262e-01	4.678226e-05
1	5.382614e+00	1.066284e-01	4.687619e-05
1	5.470547e+00	1.084023e-01	4.665065e-05
1	5.557785e+00	1.102104e-01	4.689443e-05
1	5.646302e+00	1.119385e-01	4.675162e-05
1	5.734759e+00	1.136856e-01	4.664361e-05
1	5.821814e+00	1.154900e-01	4.713094e-05
1	5.910414e+00	1.172829e-01	4.718435e-05
1	5.998120e+00	1.191101e-01	4.698741e-05
1	6.086417e+00	1.208839e-01	4.728997e-05
1	6.174278e+00	1.224785e-01	4.670894e-05
1	6.261877e+00	1.242676e-01	4.694712e-05
1	6.349790e+00	1.260872e-01	4.687965e-05
1	6.438566e+00	1.278381e-01	4.705143e-05
1	6.526412e+00	1.296234e-01	4.672945e-05
1	6.613827e+00	1.313858e-01	4.707980e-05
1	6.702264e+00	1.330605e-01	4.696357e-05
1	6.790036e+00	1.348572e-01	4.691327e-05
1	6.878657e+00	1.365967e-01	4.684865e-05
1	6.966277e+00	1.384354e-01	4.721534e-05
1	7.054544e+00	1.401062e-01	4.712558e-05
1	7.142512e+00	1.418877e-01	4.710960e-05
1	7.230536e+00	1.437340e-01	4.733801e-05
1	7.317792e+00	1.455460e-01	4.718029e-05
1	7.406539e+00	1.471519e-01	4.703355e-05
1	7.494079e+00	1.489830e-01	4.721761e-05
1	7.582010e+00	1.506958e-01	4.739130e-05
1	7.670555e+00	1.524658e-01	4.709768e-05
1	7.758504e+00	1.542397e-01	4.721165e-05
1	7.845944e+00	1.558990e-01	4.701304e-05
1	7.934343e+00	1.577873e-01	4.747927e-05
1	8.022210e+00	1.594963e-01	4.692256e-05
1	8.110743e+00	1.612778e-01	4.721522e-05
1	8.198315e+00	1.630402e-01	4.727399e-05
1	8.286424e+00	1.648750e-01	4.772913e-05
1	8.374015e+00	1.665688e-01	4.727006e-05
1	8.462107e+00	1.683388e-01	4.737771e-05
1	8.550392e+00	1.699944e-01	4.685867e-05
1	8.638242e+00	1.718712e-01	4.751968e-05
1	8.726184e+00	1.735420e-01	4.636693e-05
1	8.814523e+00	1.753235e-01	4.740179e-05
1	8.902347e+00	1.771431e-01	4.728281e-05
1	8.989852e+00	1.789093e-01	4.759109e-05
1	9.078699e+00	1.805305e-01	4.718554e-05
1	9.166011e+00	1.823807e-01	4.757261e-05
1	9.254673e+00	1.841583e-01	4.724574e-05
1	9.342439e+00	1.859474e-01	4.738390e-05
1	9.430339e+00	1.876373e-01	4.727781e-05
1	9.518181e+00	1.894951e-01	4.718196e-05
1	9.606310e+00	1.912117e-01	4.721069e-05
1	9.694088e+00	1.929398e-01	4.727638e-05
1	9.782522e+00	1.946564e-01	4.711318e-05
1	9.870297e+00	1.964111e-01	4.739892e-05
1	9.958170e+00	1.983109e-01	4.749537e-05
1	1.004603e+01	1.999550e-01	4.740906e-05
1	1.013454e+01	2.017670e-01	4.741168e-05
1	1.022263e+01	2.034645e-01	4.734123e-05
1	1.031041e+01	2.052155e-01	4.737592e-05
1	1.039833e+01	2.068748e-01	4.735887e-05
1	1.048653e+01	2.087822e-01	4.744411e-05
1	1.057428e+01	2.105217e-01	4.743683e-05
1	1.066260e+01	2.122269e-01	4.723227e-05
1	1.074994e+01	2.140846e-01	4.744947e-05
1	1.083823e+01	2.157974e-01	4.748261e-05
1	1.092606e+01	2.175369e-01	4.760623e-05
1	1.101445e+01	2.193794e-01	4.755747e-05
1	1.110229e+01	2.212181e-01	4.760647e-05
1	1.119053e+01	2.227898e-01	4.741752e-05
1	1.127829e+01	2.245369e-01	4.729450e-05
