Cycle number	Elapsed time (s)	Potential (V)	Current (A)
1	1.893992e-01	2.910614e-03	2.115905e-05
1	2.781588e-01	4.592896e-03	2.847672e-05
1	3.659336e-01	6.385803e-03	3.369093e-05
1	4.542141e-01	8.174896e-03	3.706694e-05
1	5.421328e-01	9.967804e-03	3.923988e-05
1	6.298090e-01	1.174927e-02	4.127002e-05
1	7.191324e-01	1.342392e-02	4.268610e-05
1	8.062680e-01	1.526260e-02	4.405236e-05
1	8.940229e-01	1.700592e-02	4.423368e-05
1	9.815552e-01	1.871109e-02	4.452145e-05
1	1.069479e+00	2.047348e-02	4.503167e-05
1	1.157549e+00	2.217484e-02	4.554522e-05
1	1.245719e+00	2.408981e-02	4.571760e-05
1	1.334256e+00	2.586746e-02	4.565358e-05
1	1.421278e+00	2.748871e-02	4.576564e-05
1	1.510029e+00	2.930069e-02	4.588771e-05
1	1.598229e+00	3.108597e-02	4.643440e-05
1	1.685949e+00	3.283691e-02	4.643631e-05
1	1.773919e+00	3.446579e-02	4.608738e-05
1	1.862276e+00	3.634644e-02	4.664588e-05
1	1.950269e+00	3.818512e-02	4.675376e-05
1	2.038167e+00	3.995514e-02	4.681194e-05
1	2.125880e+00	4.157639e-02	4.657197e-05
1	2.213429e+00	4.335403e-02	4.627216e-05
1	2.301608e+00	4.525757e-02	4.691327e-05
1	2.390133e+00	4.700470e-02	4.683769e-05
1	2.477589e+00	4.865265e-02	4.710078e-05
1	2.565855e+00	5.035782e-02	4.686224e-05
1	2.653437e+00	5.217361e-02	4.711998e-05
1	2.742079e+00	5.388260e-02	4.696512e-05
1	2.829327e+00	5.556107e-02	4.713881e-05
1	2.917687e+00	5.754471e-02	4.688013e-05
1	3.005649e+00	5.919266e-02	4.710340e-05
1	3.093629e+00	6.092453e-02	4.713404e-05
1	3.181545e+00	6.287003e-02	4.760265e-05
1	3.269832e+00	6.443405e-02	4.657853e-05
1	3.357505e+00	6.623459e-02	4.696310e-05
1	3.445795e+00	6.797409e-02	4.698491e-05
1	3.534082e+00	6.986237e-02	4.728353e-05
1	3.622075e+00	7.150269e-02	4.708374e-05
1	3.709326e+00	7.324982e-02	4.710615e-05
1	3.797608e+00	7.506561e-02	4.696608e-05
1	3.885397e+00	7.691193e-02	4.738879e-05
1	3.973713e+00	7.854080e-02	4.732335e-05
1	4.062148e+00	8.036041e-02	4.726958e-05
1	4.149850e+00	8.210373e-02	4.706335e-05
1	4.237819e+00	8.385468e-02	4.708004e-05
1	4.325456e+00	8.554459e-02	4.755735e-05
1	4.414067e+00	8.735275e-02	4.681265e-05
1	4.502116e+00	8.912659e-02	4.760849e-05
1	4.590068e+00	9.088516e-02	4.725802e-05
1	4.677698e+00	9.257126e-02	4.720151e-05
1	4.766002e+00	9.423828e-02	4.707563e-05
1	4.853841e+00	9.615707e-02	4.748535e-05
1	4.941849e+00	9.790039e-02	4.726863e-05
1	5.029802e+00	9.975052e-02	4.711914e-05
1	5.117448e+00	1.014481e-01	4.745388e-05
1	5.206160e+00	1.032066e-01	4.738104e-05
1	5.294226e+00	1.049843e-01	4.745042e-05
1	5.382181e+00	1.067009e-01	4.725158e-05
1	5.470131e+00	1.084290e-01	4.701316e-05
1	5.557916e+00	1.102791e-01	4.776514e-05
1	5.645418e+00	1.120415e-01	4.759049e-05
1	5.733607e+00	1.137390e-01	4.734111e-05
1	5.821788e+00	1.156082e-01	4.751027e-05
1	5.909437e+00	1.173820e-01	4.790378e-05
1	5.997869e+00	1.190414e-01	4.746318e-05
1	6.085367e+00	1.207504e-01	4.783046e-05
1	6.173830e+00	1.225357e-01	4.769635e-05
1	6.261967e+00	1.243401e-01	4.763210e-05
1	6.349730e+00	1.260796e-01	4.745197e-05
1	6.437431e+00	1.279373e-01	4.757941e-05
1	6.526166e+00	1.296921e-01	4.759836e-05
1	6.613476e+00	1.313820e-01	4.762912e-05
1	6.701670e+00	1.330948e-01	4.761219e-05
1	6.789375e+00	1.349106e-01	4.783022e-05
1	6.878008e+00	1.366844e-01	4.705369e-05
1	6.965868e+00	1.383781e-01	4.760480e-05
1	7.054287e+00	1.402016e-01	4.746628e-05
1	7.142075e+00	1.419411e-01	4.730868e-05
