Cycle number	Elapsed time (s)	Potential (V)	Current (A)
1	1.895013e-01	5.882263e-03	3.300178e-05
1	2.772240e-01	1.033401e-02	5.717075e-05
1	3.656468e-01	1.465988e-02	7.375550e-05
1	4.529933e-01	1.910400e-02	8.548164e-05
1	5.414979e-01	2.340698e-02	9.374487e-05
1	6.298534e-01	2.790451e-02	9.961736e-05
1	7.177838e-01	3.240585e-02	1.042281e-04
1	8.053051e-01	3.673935e-02	1.069728e-04
1	8.935159e-01	4.105759e-02	1.095474e-04
1	9.813489e-01	4.543686e-02	1.113478e-04
1	1.069540e+00	4.990387e-02	1.126547e-04
1	1.157396e+00	5.427170e-02	1.133120e-04
1	1.244985e+00	5.877304e-02	1.143095e-04
1	1.333638e+00	6.314468e-02	1.152028e-04
1	1.421558e+00	6.754684e-02	1.155883e-04
1	1.509106e+00	7.193375e-02	1.160961e-04
1	1.597639e+00	7.634354e-02	1.160582e-04
1	1.685741e+00	8.076859e-02	1.166180e-04
1	1.773812e+00	8.522415e-02	1.167462e-04
1	1.861039e+00	8.959961e-02	1.170248e-04
1	1.949924e+00	9.379196e-02	1.167831e-04
1	2.037763e+00	9.839630e-02	1.173828e-04
1	2.125089e+00	1.027679e-01	1.177136e-04
1	2.213157e+00	1.070938e-01	1.177136e-04
1	2.301232e+00	1.114845e-01	1.173140e-04
1	2.389368e+00	1.158257e-01	1.173230e-04
1	2.477762e+00	1.202240e-01	1.179838e-04
1	2.565431e+00	1.247253e-01	1.178595e-04
1	2.653759e+00	1.291237e-01	1.179121e-04
1	2.741772e+00	1.335526e-01	1.183783e-04
1	2.829160e+00	1.379509e-01	1.181005e-04
1	2.917524e+00	1.423988e-01	1.183023e-04
1	3.005413e+00	1.467552e-01	1.185056e-04
1	3.093878e+00	1.510658e-01	1.182052e-04
1	3.181675e+00	1.554832e-01	1.183088e-04
1	3.269858e+00	1.599121e-01	1.184011e-04
1	3.357215e+00	1.643486e-01	1.187484e-04
1	3.445901e+00	1.686478e-01	1.187652e-04
1	3.533883e+00	1.731071e-01	1.190908e-04
1	3.621771e+00	1.776009e-01	1.191131e-04
1	3.709352e+00	1.818886e-01	1.191599e-04
1	3.797200e+00	1.863556e-01	1.191907e-04
1	3.885604e+00	1.906471e-01	1.191605e-04
1	3.973663e+00	1.950912e-01	1.189597e-04
1	4.060921e+00	1.995811e-01	1.193959e-04
1	4.148890e+00	2.038574e-01	1.190389e-04
1	4.237765e+00	2.083092e-01	1.190330e-04
1	4.325509e+00	2.127342e-01	1.194947e-04
1	4.413327e+00	2.170906e-01	1.196336e-04
1	4.500895e+00	2.214813e-01	1.193715e-04
1	4.589019e+00	2.258415e-01	1.193037e-04
1	4.676940e+00	2.303734e-01	1.200485e-04
1	4.765311e+00	2.346039e-01	1.191328e-04
1	4.853626e+00	2.390823e-01	1.196455e-04
1	4.941804e+00	2.434807e-01	1.199507e-04
1	5.029261e+00	2.479553e-01	1.202283e-04
1	5.116973e+00	2.522774e-01	1.198180e-04
1	5.205612e+00	2.566566e-01	1.195449e-04
1	5.293288e+00	2.610321e-01	1.196752e-04
1	5.381066e+00	2.655449e-01	1.201829e-04
1	5.469815e+00	2.699776e-01	1.202977e-04
1	5.557283e+00	2.742805e-01	1.195059e-04
1	5.644988e+00	2.787590e-01	1.204820e-04
1	5.733413e+00	2.830505e-01	1.201251e-04
1	5.821132e+00	2.874718e-01	1.197888e-04
1	5.908984e+00	2.919312e-01	1.201526e-04
1	5.997760e+00	2.962036e-01	1.202058e-04
1	6.085593e+00	3.005943e-01	1.201416e-04
1	6.173128e+00	3.049660e-01	1.198605e-04
1	6.260949e+00	3.095512e-01	1.205127e-04
1	6.349328e+00	3.138313e-01	1.204914e-04
1	6.437159e+00	3.182220e-01	1.200871e-04
1	6.525250e+00	3.225517e-01	1.204244e-04
1	6.613379e+00	3.270416e-01	1.205521e-04
1	6.700875e+00	3.314857e-01	1.204883e-04
1	6.789499e+00	3.357697e-01	1.200552e-04
1	6.877266e+00	3.402252e-01	1.207656e-04
1	6.965233e+00	3.447227e-01	1.208966e-04
1	7.053877e+00	3.490829e-01	1.202689e-04
1	7.141480e+00	3.534698e-01	1.206195e-04
1	7.229565e+00	3.577995e-01	1.203973e-04
1	7.317876e+00	3.621140e-01	1.202668e-04
1	7.405012e+00	3.667412e-01	1.205336e-04
1	7.493341e+00	3.710213e-01	1.206062e-04
1	7.580998e+00	3.754196e-01	1.208947e-04
1	7.669897e+00	3.797722e-01	1.208894e-04
1	7.757292e+00	3.843117e-01	1.209146e-04
1	7.844920e+00	3.886299e-01	1.205468e-04
1	7.933126e+00	3.930435e-01	1.204617e-04
1	8.021781e+00	3.974800e-01	1.206791e-04
1	8.109322e+00	4.018478e-01	1.210952e-04
1	8.197804e+00	4.062805e-01	1.206954e-04
1	8.285279e+00	4.105377e-01	1.204910e-04
1	8.373117e+00	4.150925e-01	1.206821e-04
1	8.461631e+00	4.194412e-01	1.207718e-04
1	8.549514e+00	4.238777e-01	1.207349e-04
1	8.636983e+00	4.282074e-01	1.208646e-04
1	8.725167e+00	4.325600e-01	1.209357e-04
1	8.813433e+00	4.370766e-01	1.210020e-04
1	8.900947e+00	4.414558e-01	1.208061e-04
1	8.989286e+00	4.457932e-01	1.210063e-04
1	9.077083e+00	4.502068e-01	1.211982e-04
1	9.165862e+00	4.545860e-01	1.212137e-04
1	9.253181e+00	4.589691e-01	1.210637e-04
1	9.341612e+00	4.635010e-01	1.212288e-04
1	9.429896e+00	4.678345e-01	1.210817e-04
1	9.517839e+00	4.722519e-01	1.208467e-04
1	9.605004e+00	4.766006e-01	1.209960e-04
1	9.693182e+00	4.810257e-01	1.209700e-04
1	9.781449e+00	4.853668e-01	1.211690e-04
1	9.869772e+00	4.898415e-01	1.214784e-04
1	9.957542e+00	4.943161e-01	1.215949e-04
1	1.004560e+01	4.986267e-01	1.217413e-04
1	1.013374e+01	5.030060e-01	1.215429e-04
1	1.022141e+01	5.074387e-01	1.214281e-04
1	1.030923e+01	5.118217e-01	1.218276e-04
1	1.039786e+01	5.162888e-01	1.215891e-04
1	1.048577e+01	5.206680e-01	1.217452e-04
1	1.057351e+01	5.249939e-01	1.214660e-04
1	1.066121e+01	5.294533e-01	1.215975e-04
1	1.074991e+01	5.337677e-01	1.212591e-04
1	1.083769e+01	5.382347e-01	1.214663e-04
1	1.092575e+01	5.425758e-01	1.215948e-04
1	1.101363e+01	5.469894e-01	1.218139e-04
1	1.110126e+01	5.513382e-01	1.214192e-04
1	1.118957e+01	5.558281e-01	1.212600e-04
1	1.127710e+01	5.601692e-01	1.218830e-04
1	1.136506e+01	5.645943e-01	1.216866e-04
1	1.145318e+01	5.689697e-01	1.214377e-04
1	1.154134e+01	5.734482e-01	1.219156e-04
1	1.162958e+01	5.777016e-01	1.216469e-04
1	1.171782e+01	5.822105e-01	1.217340e-04
1	1.180561e+01	5.865669e-01	1.216846e-04
1	1.189343e+01	5.909767e-01	1.217940e-04
1	1.198112e+01	5.954819e-01	1.216360e-04
1	1.206925e+01	5.996552e-01	1.216670e-04
1	1.215715e+01	6.041412e-01	1.220487e-04
1	1.224575e+01	6.084442e-01	1.216145e-04
1	1.233382e+01	6.129913e-01	1.222599e-04
1	1.242152e+01	6.173973e-01	1.220520e-04
1	1.250910e+01	6.218414e-01	1.222625e-04
1	1.259702e+01	6.261406e-01	1.220038e-04
1	1.268507e+01	6.306877e-01	1.222384e-04
1	1.277332e+01	6.349297e-01	1.218944e-04
1	1.286099e+01	6.394577e-01	1.222929e-04
1	1.294954e+01	6.436729e-01	1.215409e-04
1	1.303779e+01	6.482239e-01	1.222876e-04
1	1.312518e+01	6.526451e-01	1.224530e-04
1	1.321308e+01	6.570358e-01	1.222773e-04
1	1.330137e+01	6.613388e-01	1.221541e-04
1	1.338990e+01	6.657791e-01	1.221468e-04
1	1.347715e+01	6.701851e-01	1.221576e-04
1	1.356514e+01	6.745415e-01	1.219802e-04
1	1.365389e+01	6.789131e-01	1.217912e-04
1	1.374163e+01	6.834030e-01	1.221327e-04
1	1.382921e+01	6.877480e-01	1.220500e-04
1	1.391701e+01	6.921616e-01	1.219953e-04
1	1.400537e+01	6.964722e-01	1.217833e-04
1	1.409350e+01	7.010384e-01	1.223924e-04
1	1.418104e+01	7.053299e-01	1.225402e-04
1	1.426938e+01	7.096825e-01	1.222665e-04
1	1.435750e+01	7.141342e-01	1.222686e-04
1	1.444556e+01	7.185097e-01	1.225778e-04
1	1.453377e+01	7.229614e-01	1.220876e-04
1	1.462125e+01	7.273445e-01	1.223589e-04
1	1.470959e+01	7.317085e-01	1.223458e-04
1	1.479722e+01	7.361336e-01	1.221769e-04
1	1.488514e+01	7.405815e-01	1.225983e-04
1	1.497355e+01	7.449303e-01	1.225023e-04
1	1.506141e+01	7.494087e-01	1.226965e-04
1	1.514959e+01	7.538414e-01	1.228627e-04
1	1.523778e+01	7.581558e-01	1.227453e-04
1	1.532564e+01	7.626076e-01	1.226643e-04
1	1.541304e+01	7.669449e-01	1.223842e-04
1	1.550114e+01	7.713280e-01	1.224600e-04
1	1.558899e+01	7.756958e-01	1.222044e-04
1	1.567787e+01	7.801323e-01	1.225388e-04
1	1.576556e+01	7.845764e-01	1.224971e-04
1	1.585389e+01	7.890511e-01	1.228080e-04
1	1.594166e+01	7.933388e-01	1.225612e-04
1	1.602946e+01	7.978210e-01	1.225048e-04
1	1.611727e+01	8.021469e-01	1.224599e-04
1	1.620550e+01	8.065643e-01	1.227347e-04
1	1.629348e+01	8.108826e-01	1.225559e-04
1	1.638164e+01	8.153267e-01	1.231773e-04
1	1.646921e+01	8.197327e-01	1.227661e-04
1	1.655749e+01	8.240509e-01	1.225529e-04
1	1.664511e+01	8.285828e-01	1.228325e-04
1	1.673300e+01	8.330612e-01	1.229674e-04
1	1.682107e+01	8.373833e-01	1.223526e-04
1	1.690920e+01	8.417816e-01	1.228509e-04
1	1.699708e+01	8.459930e-01	1.225169e-04
1	1.708580e+01	8.505478e-01	1.226789e-04
1	1.717294e+01	8.549538e-01	1.225575e-04
1	1.726125e+01	8.592339e-01	1.227275e-04
1	1.734969e+01	8.638306e-01	1.230172e-04
1	1.743693e+01	8.681030e-01	1.230842e-04
1	1.752511e+01	8.724632e-01	1.230128e-04
1	1.761387e+01	8.769112e-01	1.229960e-04
1	1.770157e+01	8.813972e-01	1.231656e-04
1	1.778975e+01	8.857422e-01	1.228484e-04
1	1.787696e+01	8.901215e-01	1.231580e-04
1	1.796574e+01	8.946190e-01	1.231191e-04
1	1.805366e+01	8.989258e-01	1.231050e-04
1	1.814155e+01	9.032898e-01	1.230909e-04
1	1.822925e+01	9.077415e-01	1.227559e-04
1	1.831721e+01	9.120750e-01	1.231887e-04
1	1.840518e+01	9.165573e-01	1.229453e-04
1	1.849327e+01	9.208374e-01	1.232734e-04
1	1.858127e+01	9.253998e-01	1.233203e-04
1	1.866958e+01	9.296417e-01	1.231309e-04
1	1.875758e+01	9.340591e-01	1.233385e-04
1	1.884540e+01	9.385147e-01	1.228864e-04
1	1.893313e+01	9.428978e-01	1.230608e-04
1	1.902156e+01	9.472466e-01	1.229587e-04
1	1.910954e+01	9.517479e-01	1.235355e-04
1	1.919705e+01	9.561462e-01	1.232604e-04
1	1.928509e+01	9.604721e-01	1.230042e-04
1	1.937324e+01	9.649048e-01	1.232116e-04
1	1.946094e+01	9.693756e-01	1.231745e-04
1	1.954929e+01	9.736862e-01	1.232370e-04
1	1.963705e+01	9.781075e-01	1.231315e-04
1	1.972557e+01	9.824905e-01	1.231600e-04
1	1.981346e+01	9.870377e-01	1.240635e-04
1	1.990141e+01	9.913750e-01	1.237131e-04
1	1.998893e+01	9.957047e-01	1.234080e-04
1	2.007714e+01	1.000114e+00	1.235138e-04
1	2.016497e+01	9.968262e-01	6.402123e-05
1	2.025378e+01	9.923630e-01	1.517630e-05
1	2.034123e+01	9.878159e-01	-1.974285e-05
1	2.042925e+01	9.835129e-01	-4.399228e-05
1	2.051717e+01	9.789658e-01	-6.118774e-05
1	2.060512e+01	9.746094e-01	-7.317936e-05
1	2.069296e+01	9.701996e-01	-8.177364e-05
1	2.078096e+01	9.658661e-01	-8.811164e-05
1	2.086944e+01	9.614754e-01	-9.266508e-05
1	2.095769e+01	9.569931e-01	-9.620106e-05
1	2.104522e+01	9.526825e-01	-9.906423e-05
1	2.113330e+01	9.482841e-01	-1.007397e-04
1	2.122107e+01	9.438438e-01	-1.025856e-04
1	2.130901e+01	9.394875e-01	-1.036677e-04
1	2.139789e+01	9.350471e-01	-1.041265e-04
1	2.148530e+01	9.306679e-01	-1.053524e-04
1	2.157390e+01	9.263039e-01	-1.059377e-04
1	2.166132e+01	9.218445e-01	-1.064866e-04
1	2.174913e+01	9.175148e-01	-1.068233e-04
1	2.183761e+01	9.129562e-01	-1.075407e-04
1	2.192507e+01	9.087334e-01	-1.075200e-04
1	2.201333e+01	9.042854e-01	-1.077447e-04
1	2.210094e+01	8.999176e-01	-1.079975e-04
1	2.218946e+01	8.955574e-01	-1.080594e-04
1	2.227692e+01	8.910980e-01	-1.086365e-04
1	2.236560e+01	8.867073e-01	-1.086993e-04
1	2.245359e+01	8.823280e-01	-1.087992e-04
1	2.254179e+01	8.778610e-01	-1.088760e-04
1	2.262959e+01	8.734360e-01	-1.092200e-04
1	2.271689e+01	8.689690e-01	-1.096513e-04
1	2.280524e+01	8.647652e-01	-1.096008e-04
1	2.289379e+01	8.602371e-01	-1.100414e-04
1	2.298111e+01	8.558769e-01	-1.095564e-04
1	2.306951e+01	8.513794e-01	-1.101226e-04
1	2.315704e+01	8.471069e-01	-1.102288e-04
1	2.324536e+01	8.426285e-01	-1.101738e-04
1	2.333335e+01	8.382034e-01	-1.105161e-04
1	2.342161e+01	8.339272e-01	-1.100523e-04
1	2.350965e+01	8.294487e-01	-1.108353e-04
1	2.359756e+01	8.250542e-01	-1.106870e-04
1	2.368541e+01	8.207130e-01	-1.105553e-04
1	2.377318e+01	8.163605e-01	-1.102936e-04
1	2.386106e+01	8.118935e-01	-1.107793e-04
1	2.394943e+01	8.075447e-01	-1.108493e-04
1	2.403748e+01	8.030167e-01	-1.115081e-04
1	2.412524e+01	7.985764e-01	-1.114455e-04
1	2.421349e+01	7.942314e-01	-1.112808e-04
1	2.430159e+01	7.899170e-01	-1.111245e-04
1	2.438960e+01	7.853851e-01	-1.114186e-04
1	2.447709e+01	7.811470e-01	-1.113038e-04
1	2.456584e+01	7.765923e-01	-1.113416e-04
1	2.465376e+01	7.722778e-01	-1.113636e-04
1	2.474093e+01	7.678642e-01	-1.118295e-04
1	2.482909e+01	7.635574e-01	-1.113640e-04
1	2.491730e+01	7.591324e-01	-1.117253e-04
1	2.500544e+01	7.546577e-01	-1.119403e-04
1	2.509367e+01	7.502899e-01	-1.117465e-04
1	2.518129e+01	7.458420e-01	-1.121144e-04
1	2.526966e+01	7.415352e-01	-1.116480e-04
1	2.535742e+01	7.370415e-01	-1.124555e-04
1	2.544579e+01	7.325897e-01	-1.121628e-04
1	2.553366e+01	7.282066e-01	-1.124464e-04
1	2.562101e+01	7.239037e-01	-1.124780e-04
1	2.570954e+01	7.194595e-01	-1.123800e-04
1	2.579781e+01	7.150803e-01	-1.123416e-04
1	2.588578e+01	7.105408e-01	-1.119385e-04
1	2.597387e+01	7.064362e-01	-1.119843e-04
1	2.606176e+01	7.017899e-01	-1.124581e-04
1	2.614988e+01	6.975822e-01	-1.121311e-04
1	2.623765e+01	6.930275e-01	-1.128418e-04
1	2.632580e+01	6.887550e-01	-1.125069e-04
1	2.641377e+01	6.843414e-01	-1.123140e-04
1	2.650169e+01	6.798897e-01	-1.130137e-04
1	2.658934e+01	6.755638e-01	-1.125364e-04
1	2.667780e+01	6.710587e-01	-1.127301e-04
1	2.676558e+01	6.667290e-01	-1.126734e-04
1	2.685296e+01	6.621780e-01	-1.128428e-04
1	2.694136e+01	6.578522e-01	-1.126409e-04
1	2.702973e+01	6.535721e-01	-1.125755e-04
1	2.711765e+01	6.491127e-01	-1.127324e-04
1	2.720512e+01	6.447144e-01	-1.129739e-04
1	2.729358e+01	6.404190e-01	-1.128733e-04
1	2.738141e+01	6.359406e-01	-1.130667e-04
1	2.746918e+01	6.314812e-01	-1.130931e-04
1	2.755774e+01	6.271400e-01	-1.132417e-04
1	2.764580e+01	6.226807e-01	-1.133734e-04
1	2.773374e+01	6.183472e-01	-1.132405e-04
1	2.782100e+01	6.140251e-01	-1.128291e-04
1	2.790950e+01	6.095009e-01	-1.138589e-04
1	2.799692e+01	6.050186e-01	-1.133882e-04
1	2.808565e+01	6.008186e-01	-1.131129e-04
1	2.817356e+01	5.962143e-01	-1.140307e-04
1	2.826125e+01	5.919495e-01	-1.133473e-04
1	2.834889e+01	5.875549e-01	-1.133020e-04
1	2.843788e+01	5.831947e-01	-1.134721e-04
1	2.852714e+01	5.787392e-01	-1.132649e-04
1	2.861370e+01	5.742569e-01	-1.135914e-04
1	2.870152e+01	5.699272e-01	-1.136571e-04
1	2.878931e+01	5.654716e-01	-1.137315e-04
1	2.887712e+01	5.610886e-01	-1.139262e-04
1	2.896522e+01	5.567856e-01	-1.134014e-04
1	2.905305e+01	5.523529e-01	-1.134517e-04
1	2.914107e+01	5.479622e-01	-1.139593e-04
1	2.922901e+01	5.434952e-01	-1.138237e-04
1	2.931752e+01	5.391121e-01	-1.137964e-04
1	2.940549e+01	5.345840e-01	-1.138222e-04
1	2.949384e+01	5.302048e-01	-1.138514e-04
1	2.958151e+01	5.259018e-01	-1.136916e-04
1	2.966905e+01	5.215492e-01	-1.137480e-04
1	2.975697e+01	5.172310e-01	-1.136025e-04
1	2.984494e+01	5.128212e-01	-1.137680e-04
1	2.993321e+01	5.083160e-01	-1.137998e-04
1	3.002081e+01	5.039558e-01	-1.143669e-04
1	3.010982e+01	4.995575e-01	-1.142504e-04
1	3.019750e+01	4.951363e-01	-1.140088e-04
1	3.028582e+01	4.908638e-01	-1.138855e-04
1	3.037306e+01	4.862480e-01	-1.145350e-04
1	3.046176e+01	4.819183e-01	-1.141622e-04
1	3.054937e+01	4.775162e-01	-1.142052e-04
1	3.063774e+01	4.731979e-01	-1.142900e-04
1	3.072532e+01	4.687576e-01	-1.143448e-04
1	3.081352e+01	4.643478e-01	-1.142819e-04
