Cycle number	Half cycle number	Elapsed time (s)	Potential (V)	Current (A)
1	1	1.079191e-02	6.473541e-03	-8.259535e-06
1	1	9.952924e-02	1.840591e-02	5.001104e-05
1	1	1.882300e-01	2.043533e-02	5.000484e-05
1	1	2.757040e-01	2.252197e-02	5.000639e-05
1	1	3.639782e-01	2.461624e-02	5.000842e-05
1	1	4.518522e-01	2.648163e-02	5.001211e-05
1	1	5.402022e-01	2.853012e-02	5.000734e-05
1	1	6.282835e-01	3.039169e-02	5.000639e-05
1	1	7.158942e-01	3.248978e-02	5.000710e-05
1	1	8.044005e-01	3.444672e-02	5.000854e-05
1	1	8.918833e-01	3.640747e-02	5.000639e-05
1	1	9.801270e-01	3.834152e-02	5.001009e-05
1	1	1.068091e+00	4.042053e-02	5.000937e-05
1	1	1.155607e+00	4.225540e-02	5.000734e-05
1	1	1.243899e+00	4.431534e-02	5.000818e-05
1	1	1.332305e+00	4.618073e-02	5.000937e-05
1	1	1.419678e+00	4.807281e-02	5.000675e-05
1	1	1.508007e+00	5.003738e-02	5.000722e-05
1	1	1.595626e+00	5.201340e-02	5.000806e-05
1	1	1.684364e+00	5.392075e-02	5.000579e-05
1	1	1.772066e+00	5.585861e-02	5.000722e-05
1	1	1.860028e+00	5.775833e-02	5.001152e-05
1	1	1.948067e+00	5.970764e-02	5.000460e-05
1	1	2.035931e+00	6.167603e-02	5.000508e-05
1	1	2.124153e+00	6.377029e-02	5.000794e-05
1	1	2.211798e+00	6.560516e-02	5.000722e-05
1	1	2.299797e+00	6.746674e-02	5.000520e-05
1	1	2.388297e+00	6.939316e-02	5.000603e-05
1	1	2.475876e+00	7.142639e-02	5.000579e-05
1	1	2.564001e+00	7.330322e-02	5.000770e-05
1	1	2.651833e+00	7.517624e-02	5.000794e-05
1	1	2.739878e+00	7.711029e-02	5.000758e-05
1	1	2.828260e+00	7.905579e-02	5.000639e-05
1	1	2.915574e+00	8.084106e-02	5.000877e-05
1	1	3.003669e+00	8.281326e-02	5.001032e-05
1	1	3.092163e+00	8.474350e-02	5.000722e-05
1	1	3.180187e+00	8.666611e-02	5.000722e-05
1	1	3.268212e+00	8.854294e-02	5.000842e-05
1	1	3.355493e+00	9.055328e-02	5.000794e-05
1	1	3.443727e+00	9.246826e-02	5.000806e-05
1	1	3.532139e+00	9.428406e-02	5.000615e-05
1	1	3.619360e+00	9.617996e-02	5.000913e-05
1	1	3.707848e+00	9.813309e-02	5.000675e-05
1	1	3.795929e+00	1.001396e-01	5.000722e-05
1	1	3.884075e+00	1.020241e-01	5.000472e-05
1	1	3.971459e+00	1.038704e-01	5.000734e-05
1	1	4.060391e+00	1.059303e-01	5.000889e-05
1	1	4.148232e+00	1.077728e-01	5.000556e-05
1	1	4.235464e+00	1.096573e-01	5.000746e-05
1	1	4.323912e+00	1.114998e-01	5.000544e-05
1	1	4.412376e+00	1.134491e-01	5.001080e-05
1	1	4.500155e+00	1.154480e-01	5.000651e-05
1	1	4.587753e+00	1.173134e-01	5.000782e-05
1	1	4.676166e+00	1.191826e-01	5.000556e-05
1	1	4.763698e+00	1.210442e-01	5.000877e-05
1	1	4.851926e+00	1.229858e-01	5.000889e-05
1	1	4.940113e+00	1.249466e-01	5.000603e-05
1	1	5.028038e+00	1.268845e-01	5.000675e-05
1	1	5.115691e+00	1.288414e-01	5.000746e-05
1	1	5.204219e+00	1.306496e-01	5.000615e-05
1	1	5.292179e+00	1.324768e-01	5.000710e-05
1	1	5.380177e+00	1.345901e-01	5.000877e-05
1	1	5.467927e+00	1.362839e-01	5.000842e-05
1	1	5.555575e+00	1.381760e-01	5.000854e-05
1	1	5.644162e+00	1.401634e-01	5.000544e-05
1	1	5.731778e+00	1.419945e-01	5.000758e-05
1	1	5.820142e+00	1.438866e-01	5.000782e-05
1	1	5.908376e+00	1.458702e-01	5.000639e-05
1	1	5.996206e+00	1.476822e-01	5.000651e-05
1	1	6.084140e+00	1.495781e-01	5.000734e-05
1	1	6.171441e+00	1.515312e-01	5.000579e-05
1	1	6.259812e+00	1.533699e-01	5.000889e-05
1	1	6.347914e+00	1.551895e-01	5.000508e-05
1	1	6.436419e+00	1.571083e-01	5.000842e-05
1	1	6.524087e+00	1.590767e-01	5.000675e-05
1	1	6.612285e+00	1.609421e-01	5.000722e-05
1	1	6.700375e+00	1.629028e-01	5.001056e-05
1	1	6.787795e+00	1.647339e-01	5.000770e-05
1	1	6.876440e+00	1.665764e-01	5.000806e-05
1	1	6.964070e+00	1.685143e-01	5.000937e-05
1	1	7.051695e+00	1.703072e-01	5.000818e-05
1	1	7.139812e+00	1.723099e-01	5.000615e-05
1	1	7.227918e+00	1.741371e-01	5.000758e-05
1	1	7.316110e+00	1.761169e-01	5.000985e-05
1	1	7.404378e+00	1.780128e-01	5.000675e-05
1	1	7.491893e+00	1.798325e-01	5.000865e-05
1	1	7.580001e+00	1.815910e-01	5.000651e-05
1	1	7.667629e+00	1.835327e-01	5.000699e-05
1	1	7.755988e+00	1.854439e-01	5.000806e-05
1	1	7.844031e+00	1.873436e-01	5.000830e-05
1	1	7.931711e+00	1.892052e-01	5.000722e-05
1	1	8.020116e+00	1.910172e-01	5.000830e-05
1	1	8.107912e+00	1.930237e-01	5.000675e-05
1	1	8.195508e+00	1.948814e-01	5.000579e-05
1	1	8.283994e+00	1.967392e-01	5.000901e-05
1	1	8.372297e+00	1.986771e-01	5.000806e-05
1	1	8.459493e+00	2.005615e-01	5.000961e-05
1	1	8.548344e+00	2.024536e-01	5.000687e-05
1	1	8.635763e+00	2.043495e-01	5.000877e-05
1	1	8.724040e+00	2.062225e-01	5.000687e-05
1	1	8.812039e+00	2.080307e-01	5.000770e-05
1	1	8.899468e+00	2.100525e-01	5.000794e-05
1	1	8.987855e+00	2.118149e-01	5.000746e-05
1	1	9.075790e+00	2.136803e-01	5.000830e-05
1	1	9.164075e+00	2.156181e-01	5.000913e-05
1	1	9.251726e+00	2.174911e-01	5.000877e-05
1	1	9.339867e+00	2.193985e-01	5.000675e-05
1	1	9.428287e+00	2.212639e-01	5.000865e-05
1	1	9.515971e+00	2.231750e-01	5.000687e-05
1	1	9.603967e+00	2.249985e-01	5.000722e-05
1	1	9.691724e+00	2.268524e-01	5.000830e-05
1	1	9.780386e+00	2.287216e-01	5.000782e-05
1	1	9.868223e+00	2.305641e-01	5.000877e-05
1	1	9.955682e+00	2.325935e-01	5.000710e-05
1	1	1.004426e+01	2.342873e-01	5.000663e-05
1	1	1.013185e+01	2.362022e-01	5.000615e-05
1	1	1.022014e+01	2.381401e-01	5.000806e-05
1	1	1.030746e+01	2.400131e-01	5.000782e-05
1	1	1.039568e+01	2.419319e-01	5.000663e-05
1	1	1.048350e+01	2.438011e-01	5.000699e-05
1	1	1.057159e+01	2.456322e-01	5.000436e-05
1	1	1.065995e+01	2.474251e-01	5.000591e-05
1	1	1.074841e+01	2.493744e-01	5.000818e-05
1	1	1.083561e+01	2.513199e-01	5.000806e-05
1	1	1.092423e+01	2.531128e-01	5.000675e-05
1	1	1.101183e+01	2.550125e-01	5.000496e-05
1	1	1.110007e+01	2.569275e-01	5.000722e-05
1	1	1.118766e+01	2.587318e-01	5.000877e-05
1	1	1.127592e+01	2.605820e-01	5.001032e-05
1	1	1.136358e+01	2.624245e-01	5.000758e-05
1	1	1.145158e+01	2.644005e-01	5.000842e-05
1	1	1.153961e+01	2.661743e-01	5.000615e-05
1	1	1.162817e+01	2.681389e-01	5.000710e-05
1	1	1.171629e+01	2.699585e-01	5.000997e-05
1	1	1.180411e+01	2.718468e-01	5.000794e-05
1	1	1.189188e+01	2.737770e-01	5.000627e-05
1	1	1.198015e+01	2.755737e-01	5.000830e-05
1	1	1.206804e+01	2.775192e-01	5.000818e-05
1	1	1.215566e+01	2.792473e-01	5.000770e-05
1	1	1.224378e+01	2.811623e-01	5.000746e-05
1	1	1.233217e+01	2.830353e-01	5.000710e-05
1	1	1.242015e+01	2.849007e-01	5.000639e-05
1	1	1.250749e+01	2.868080e-01	5.001044e-05
1	1	1.259590e+01	2.886467e-01	5.000818e-05
1	1	1.268422e+01	2.904968e-01	5.000842e-05
1	1	1.277210e+01	2.922974e-01	5.000758e-05
1	1	1.286031e+01	2.942085e-01	5.000710e-05
1	1	1.294802e+01	2.960892e-01	5.000639e-05
1	1	1.303609e+01	2.980766e-01	5.000508e-05
1	1	1.312430e+01	2.997131e-01	5.000961e-05
1	1	1.321211e+01	3.017235e-01	5.000901e-05
1	1	1.330030e+01	3.035240e-01	5.000770e-05
1	1	1.338751e+01	3.054695e-01	5.000722e-05
1	1	1.347551e+01	3.073196e-01	5.000794e-05
1	1	1.356379e+01	3.091202e-01	5.000567e-05
1	1	1.365165e+01	3.110695e-01	5.000842e-05
1	1	1.374008e+01	3.128281e-01	5.000675e-05
1	1	1.382810e+01	3.147812e-01	5.000710e-05
1	1	1.391555e+01	3.165855e-01	5.000424e-05
1	1	1.400390e+01	3.184509e-01	5.000556e-05
1	1	1.409229e+01	3.202934e-01	5.000460e-05
1	1	1.417979e+01	3.221588e-01	5.000699e-05
1	1	1.426817e+01	3.240585e-01	5.000842e-05
1	1	1.435630e+01	3.258400e-01	5.000329e-05
1	1	1.444429e+01	3.277550e-01	5.000973e-05
1	1	1.453174e+01	3.296890e-01	5.000377e-05
1	1	1.461950e+01	3.314857e-01	5.000782e-05
1	1	1.470789e+01	3.334007e-01	5.000556e-05
1	1	1.479626e+01	3.352509e-01	5.000722e-05
1	1	1.488383e+01	3.369865e-01	5.000687e-05
1	1	1.497218e+01	3.389664e-01	5.000961e-05
1	1	1.505995e+01	3.407326e-01	5.000770e-05
1	1	1.514760e+01	3.427010e-01	5.000794e-05
1	1	1.523582e+01	3.445702e-01	5.000556e-05
1	1	1.532426e+01	3.463173e-01	5.000627e-05
1	1	1.541169e+01	3.482399e-01	5.000782e-05
1	1	1.549999e+01	3.501167e-01	5.000806e-05
1	1	1.558790e+01	3.519936e-01	5.000544e-05
1	1	1.567571e+01	3.537788e-01	5.000794e-05
1	1	1.576437e+01	3.556900e-01	5.000615e-05
1	1	1.585234e+01	3.574982e-01	5.000520e-05
1	1	1.593952e+01	3.593521e-01	5.000722e-05
1	1	1.602740e+01	3.612289e-01	5.000675e-05
1	1	1.611570e+01	3.630333e-01	5.000770e-05
1	1	1.620399e+01	3.649712e-01	5.000830e-05
1	1	1.629161e+01	3.667755e-01	5.000770e-05
1	1	1.638036e+01	3.687286e-01	5.000687e-05
1	1	1.646806e+01	3.705101e-01	5.000758e-05
1	1	1.655585e+01	3.724022e-01	5.000520e-05
1	1	1.664354e+01	3.741035e-01	5.000567e-05
1	1	1.673229e+01	3.760185e-01	5.000758e-05
1	1	1.681975e+01	3.778801e-01	5.000734e-05
1	1	1.690795e+01	3.798294e-01	5.000675e-05
1	1	1.699612e+01	3.816528e-01	5.000746e-05
1	1	1.708428e+01	3.834991e-01	5.000830e-05
1	1	1.717210e+01	3.853073e-01	5.000758e-05
1	1	1.726011e+01	3.871765e-01	5.000651e-05
1	1	1.734755e+01	3.890839e-01	5.000794e-05
1	1	1.743547e+01	3.908844e-01	5.000603e-05
1	1	1.752370e+01	3.927193e-01	5.000496e-05
1	1	1.761198e+01	3.945847e-01	5.000639e-05
1	1	1.769989e+01	3.963890e-01	5.000806e-05
1	1	1.778810e+01	3.984718e-01	5.001032e-05
1	1	1.787582e+01	4.001045e-01	5.000842e-05
1	1	1.796371e+01	4.020233e-01	5.000806e-05
1	1	1.805230e+01	4.039459e-01	5.000961e-05
1	1	1.814014e+01	4.056778e-01	5.000412e-05
1	1	1.822798e+01	4.075699e-01	5.000436e-05
1	1	1.831581e+01	4.095230e-01	5.000746e-05
1	1	1.840379e+01	4.113159e-01	5.000496e-05
1	1	1.849195e+01	4.131813e-01	5.000722e-05
1	1	1.857957e+01	4.149208e-01	5.000925e-05
1	1	1.866841e+01	4.168472e-01	5.000687e-05
1	1	1.875598e+01	4.187279e-01	5.001092e-05
1	1	1.884422e+01	4.204865e-01	5.000806e-05
1	1	1.893152e+01	4.224854e-01	5.000734e-05
1	1	1.902032e+01	4.242363e-01	5.000770e-05
1	1	1.910836e+01	4.260101e-01	5.000663e-05
1	1	1.919605e+01	4.279251e-01	5.000603e-05
1	1	1.928352e+01	4.297295e-01	5.000424e-05
1	1	1.937147e+01	4.315948e-01	5.000770e-05
1	1	1.946019e+01	4.333420e-01	5.000877e-05
1	1	1.954827e+01	4.353561e-01	5.001199e-05
1	1	1.963552e+01	4.372025e-01	5.000710e-05
1	1	1.972439e+01	4.389687e-01	5.000603e-05
1	1	1.981153e+01	4.407921e-01	5.000615e-05
1	1	1.989988e+01	4.426079e-01	5.000865e-05
1	1	1.998770e+01	4.445457e-01	5.000532e-05
1	1	2.007550e+01	4.464340e-01	5.000687e-05
1	1	2.016345e+01	4.482384e-01	5.000794e-05
1	1	2.025194e+01	4.501610e-01	5.000722e-05
1	1	2.033998e+01	4.518776e-01	5.000532e-05
1	1	2.042759e+01	4.538193e-01	5.000472e-05
1	1	2.051636e+01	4.556160e-01	5.000949e-05
1	1	2.060366e+01	4.574699e-01	5.000663e-05
1	1	2.069218e+01	4.593468e-01	5.000877e-05
1	1	2.078016e+01	4.611511e-01	5.000889e-05
1	1	2.086772e+01	4.630814e-01	5.000687e-05
1	1	2.095575e+01	4.649048e-01	5.000579e-05
1	1	2.104382e+01	4.666824e-01	5.000865e-05
1	1	2.113144e+01	4.685974e-01	5.000782e-05
1	1	2.121985e+01	4.703407e-01	5.000746e-05
1	1	2.130761e+01	4.722252e-01	5.000997e-05
1	1	2.139619e+01	4.740715e-01	5.000710e-05
1	1	2.148434e+01	4.759979e-01	5.000651e-05
1	1	2.157150e+01	4.777679e-01	5.000842e-05
1	1	2.165978e+01	4.796219e-01	5.000651e-05
1	1	2.174830e+01	4.814911e-01	5.000806e-05
1	1	2.183563e+01	4.832802e-01	5.000758e-05
1	1	2.192347e+01	4.852333e-01	5.000615e-05
1	1	2.201165e+01	4.870605e-01	5.000722e-05
1	1	2.209959e+01	4.888000e-01	5.000830e-05
1	1	2.218814e+01	4.906235e-01	5.000865e-05
1	1	2.227558e+01	4.925232e-01	5.000901e-05
1	1	2.236347e+01	4.943161e-01	5.000794e-05
1	1	2.245222e+01	4.962540e-01	5.000794e-05
1	1	2.253947e+01	4.980087e-01	5.000913e-05
1	1	2.262801e+01	4.998665e-01	5.000508e-05
1	1	2.271613e+01	5.018768e-01	5.000663e-05
1	2	2.280350e+01	4.933052e-01	-3.563869e-05
1	2	2.289137e+01	4.895210e-01	-4.996872e-05
1	2	2.297942e+01	4.873581e-01	-4.997158e-05
1	2	2.306746e+01	4.853249e-01	-4.997206e-05
1	2	2.315549e+01	4.831696e-01	-4.997134e-05
1	2	2.324407e+01	4.810486e-01	-4.997051e-05
1	2	2.333176e+01	4.789696e-01	-4.997265e-05
1	2	2.341997e+01	4.769287e-01	-4.997313e-05
1	2	2.350783e+01	4.749756e-01	-4.997301e-05
1	2	2.359620e+01	4.728813e-01	-4.996824e-05
1	2	2.368429e+01	4.708290e-01	-4.997075e-05
1	2	2.377192e+01	4.688606e-01	-4.997289e-05
1	2	2.385937e+01	4.668694e-01	-4.997015e-05
1	2	2.394832e+01	4.647484e-01	-4.997277e-05
1	2	2.403581e+01	4.626884e-01	-4.997063e-05
1	2	2.412368e+01	4.607620e-01	-4.997110e-05
1	2	2.421155e+01	4.588242e-01	-4.996967e-05
1	2	2.429958e+01	4.568253e-01	-4.996991e-05
1	2	2.438784e+01	4.547119e-01	-4.996896e-05
1	2	2.447547e+01	4.527512e-01	-4.997051e-05
1	2	2.456376e+01	4.507866e-01	-4.997218e-05
1	2	2.465179e+01	4.488525e-01	-4.997027e-05
1	2	2.473989e+01	4.468536e-01	-4.997349e-05
1	2	2.482769e+01	4.448128e-01	-4.996979e-05
1	2	2.491573e+01	4.428558e-01	-4.997313e-05
1	2	2.500368e+01	4.408836e-01	-4.997540e-05
1	2	2.509157e+01	4.388542e-01	-4.996943e-05
1	2	2.518013e+01	4.369354e-01	-4.997063e-05
1	2	2.526797e+01	4.350357e-01	-4.997051e-05
1	2	2.535599e+01	4.329910e-01	-4.997361e-05
1	2	2.544393e+01	4.310379e-01	-4.997194e-05
1	2	2.553193e+01	4.290466e-01	-4.997134e-05
1	2	2.562035e+01	4.270668e-01	-4.997087e-05
1	2	2.570782e+01	4.251900e-01	-4.997087e-05
1	2	2.579591e+01	4.231415e-01	-4.997385e-05
1	2	2.588421e+01	4.211922e-01	-4.997349e-05
1	2	2.597170e+01	4.192429e-01	-4.997051e-05
1	2	2.605961e+01	4.173203e-01	-4.997313e-05
1	2	2.614756e+01	4.153137e-01	-4.997396e-05
1	2	2.623616e+01	4.132614e-01	-4.997241e-05
1	2	2.632369e+01	4.114532e-01	-4.997015e-05
1	2	2.641157e+01	4.094276e-01	-4.997063e-05
1	2	2.649984e+01	4.076080e-01	-4.997206e-05
1	2	2.658813e+01	4.055634e-01	-4.997075e-05
1	2	2.667614e+01	4.036446e-01	-4.996872e-05
1	2	2.676431e+01	4.017258e-01	-4.997504e-05
1	2	2.685190e+01	3.997307e-01	-4.997122e-05
1	2	2.693973e+01	3.977509e-01	-4.997253e-05
1	2	2.702791e+01	3.957977e-01	-4.997110e-05
1	2	2.711550e+01	3.939056e-01	-4.996979e-05
1	2	2.720421e+01	3.920097e-01	-4.997253e-05
1	2	2.729199e+01	3.899307e-01	-4.997361e-05
1	2	2.738012e+01	3.881493e-01	-4.997230e-05
1	2	2.746822e+01	3.861618e-01	-4.997182e-05
1	2	2.755607e+01	3.842812e-01	-4.996920e-05
1	2	2.764428e+01	3.822708e-01	-4.997158e-05
1	2	2.773218e+01	3.803215e-01	-4.997468e-05
1	2	2.782026e+01	3.784637e-01	-4.996955e-05
1	2	2.790843e+01	3.764763e-01	-4.997265e-05
1	2	2.799621e+01	3.745842e-01	-4.997396e-05
1	2	2.808431e+01	3.726349e-01	-4.997396e-05
1	2	2.817213e+01	3.706703e-01	-4.996896e-05
1	2	2.825952e+01	3.687439e-01	-4.997122e-05
1	2	2.834833e+01	3.668518e-01	-4.997015e-05
1	2	2.843554e+01	3.649178e-01	-4.997313e-05
1	2	2.852413e+01	3.630104e-01	-4.997265e-05
1	2	2.861193e+01	3.609772e-01	-4.997170e-05
1	2	2.870020e+01	3.590431e-01	-4.997170e-05
1	2	2.878802e+01	3.571930e-01	-4.997194e-05
1	2	2.887593e+01	3.552971e-01	-4.997241e-05
1	2	2.896369e+01	3.533974e-01	-4.997373e-05
1	2	2.905206e+01	3.514175e-01	-4.997337e-05
1	2	2.914010e+01	3.493843e-01	-4.996789e-05
1	2	2.922829e+01	3.475342e-01	-4.997385e-05
1	2	2.931569e+01	3.456345e-01	-4.997337e-05
1	2	2.940352e+01	3.437920e-01	-4.997337e-05
1	2	2.949205e+01	3.418427e-01	-4.997182e-05
1	2	2.957991e+01	3.399506e-01	-4.997230e-05
1	2	2.966777e+01	3.379326e-01	-4.997027e-05
1	2	2.975612e+01	3.360596e-01	-4.997122e-05
1	2	2.984381e+01	3.340759e-01	-4.997253e-05
1	2	2.993228e+01	3.322563e-01	-4.997015e-05
1	2	3.002038e+01	3.302231e-01	-4.997265e-05
1	2	3.010843e+01	3.282738e-01	-4.997158e-05
1	2	3.019636e+01	3.263893e-01	-4.997194e-05
1	2	3.028355e+01	3.245125e-01	-4.996979e-05
1	2	3.037223e+01	3.226852e-01	-4.997206e-05
1	2	3.045965e+01	3.206444e-01	-4.997325e-05
1	2	3.054828e+01	3.187332e-01	-4.997265e-05
1	2	3.063587e+01	3.169403e-01	-4.997492e-05
1	2	3.072443e+01	3.149986e-01	-4.997313e-05
1	2	3.081163e+01	3.130226e-01	-4.997349e-05
1	2	3.089969e+01	3.111458e-01	-4.996908e-05
1	2	3.098772e+01	3.093681e-01	-4.996932e-05
1	2	3.107622e+01	3.073311e-01	-4.997098e-05
1	2	3.116353e+01	3.054123e-01	-4.997444e-05
1	2	3.125171e+01	3.033867e-01	-4.996836e-05
1	2	3.134038e+01	3.015594e-01	-4.997230e-05
1	2	3.142769e+01	2.996368e-01	-4.997432e-05
1	2	3.151616e+01	2.977791e-01	-4.997241e-05
1	2	3.160430e+01	2.958298e-01	-4.997277e-05
1	2	3.169216e+01	2.939758e-01	-4.997218e-05
1	2	3.177975e+01	2.920647e-01	-4.997230e-05
1	2	3.186771e+01	2.900925e-01	-4.997194e-05
1	2	3.195616e+01	2.881584e-01	-4.997051e-05
1	2	3.204370e+01	2.863197e-01	-4.997075e-05
1	2	3.213194e+01	2.843742e-01	-4.997241e-05
1	2	3.222029e+01	2.824554e-01	-4.997158e-05
1	2	3.230775e+01	2.807693e-01	-4.997110e-05
1	2	3.239568e+01	2.787170e-01	-4.997039e-05
1	2	3.248438e+01	2.767677e-01	-4.997301e-05
1	2	3.257196e+01	2.749062e-01	-4.997063e-05
1	2	3.265947e+01	2.729225e-01	-4.997098e-05
1	2	3.274771e+01	2.710609e-01	-4.997277e-05
1	2	3.283569e+01	2.690697e-01	-4.997492e-05
1	2	3.292426e+01	2.673035e-01	-4.997301e-05
1	2	3.301198e+01	2.654266e-01	-4.997098e-05
1	2	3.309992e+01	2.634621e-01	-4.997337e-05
1	2	3.318822e+01	2.615585e-01	-4.997230e-05
1	2	3.327569e+01	2.595863e-01	-4.996908e-05
1	2	3.336384e+01	2.577667e-01	-4.997087e-05
1	2	3.345153e+01	2.558632e-01	-4.997122e-05
1	2	3.353969e+01	2.539711e-01	-4.997051e-05
1	2	3.362822e+01	2.521095e-01	-4.997396e-05
1	2	3.371597e+01	2.501221e-01	-4.997098e-05
1	2	3.380436e+01	2.482758e-01	-4.997134e-05
1	2	3.389202e+01	2.464752e-01	-4.997289e-05
1	2	3.397999e+01	2.445145e-01	-4.997385e-05
1	2	3.406786e+01	2.426033e-01	-4.996991e-05
1	2	3.415614e+01	2.406616e-01	-4.997182e-05
1	2	3.424402e+01	2.387772e-01	-4.996860e-05
1	2	3.433192e+01	2.368546e-01	-4.997110e-05
1	2	3.441988e+01	2.350311e-01	-4.997146e-05
1	2	3.450783e+01	2.330246e-01	-4.997075e-05
1	2	3.459629e+01	2.313004e-01	-4.997134e-05
1	2	3.468368e+01	2.294044e-01	-4.997432e-05
1	2	3.477221e+01	2.273788e-01	-4.997063e-05
1	2	3.485956e+01	2.255058e-01	-4.997241e-05
1	2	3.494749e+01	2.236023e-01	-4.997182e-05
1	2	3.503628e+01	2.217865e-01	-4.997385e-05
1	2	3.512425e+01	2.198219e-01	-4.997241e-05
1	2	3.521230e+01	2.179985e-01	-4.997015e-05
1	2	3.529957e+01	2.160301e-01	-4.996932e-05
1	2	3.538795e+01	2.141685e-01	-4.997265e-05
1	2	3.547598e+01	2.122345e-01	-4.996943e-05
1	2	3.556357e+01	2.103996e-01	-4.997182e-05
1	2	3.565145e+01	2.084846e-01	-4.997277e-05
1	2	3.573952e+01	2.066536e-01	-4.997122e-05
1	2	3.582838e+01	2.048607e-01	-4.997146e-05
1	2	3.591592e+01	2.028503e-01	-4.997265e-05
1	2	3.600430e+01	2.009735e-01	-4.997110e-05
1	2	3.609218e+01	1.990547e-01	-4.997110e-05
1	2	3.618001e+01	1.971931e-01	-4.997110e-05
1	2	3.626828e+01	1.952209e-01	-4.996872e-05
1	2	3.635603e+01	1.933327e-01	-4.996991e-05
1	2	3.644371e+01	1.914673e-01	-4.997122e-05
1	2	3.653152e+01	1.896286e-01	-4.996943e-05
1	2	3.662041e+01	1.877785e-01	-4.997194e-05
1	2	3.670831e+01	1.858673e-01	-4.997087e-05
1	2	3.679620e+01	1.839218e-01	-4.997444e-05
1	2	3.688414e+01	1.820374e-01	-4.997241e-05
1	2	3.697175e+01	1.800613e-01	-4.997110e-05
1	2	3.706043e+01	1.782951e-01	-4.996991e-05
1	2	3.714801e+01	1.764069e-01	-4.997337e-05
1	2	3.723555e+01	1.744537e-01	-4.997349e-05
1	2	3.732392e+01	1.725464e-01	-4.996836e-05
