Experiment stage	Elapsed time (s)	Potential (V)	Current (A)
Initialising	1.872703e-01	5.086899e-01	3.919578e-05
Initialising	2.752312e-01	5.131721e-01	6.167018e-05
Initialising	3.631294e-01	5.174370e-01	7.699645e-05
Initialising	4.512517e-01	5.219460e-01	8.845007e-05
Initialising	5.391940e-01	5.263405e-01	9.657729e-05
Initialising	6.277598e-01	5.308113e-01	1.019608e-04
Initialising	7.153029e-01	5.350723e-01	1.060451e-04
Initialising	8.035148e-01	5.395317e-01	1.092669e-04
Initialising	8.913806e-01	5.440559e-01	1.111225e-04
Initialising	9.797036e-01	5.483818e-01	1.129411e-04
Initialising	1.067132e+00	5.527878e-01	1.145422e-04
Initialising	1.155638e+00	5.570602e-01	1.149032e-04
Initialising	1.242833e+00	5.616455e-01	1.159840e-04
Initialising	1.331060e+00	5.658836e-01	1.162089e-04
Initialising	1.419726e+00	5.703316e-01	1.171027e-04
Initialising	1.507629e+00	5.747643e-01	1.173304e-04
Initialising	1.594679e+00	5.791817e-01	1.176618e-04
Initialising	1.683602e+00	5.834122e-01	1.174589e-04
Initialising	1.771051e+00	5.879593e-01	1.183282e-04
Initialising	1.858904e+00	5.923271e-01	1.181051e-04
Initialising	1.947189e+00	5.966301e-01	1.180525e-04
Initialising	2.035631e+00	6.011734e-01	1.185470e-04
Initialising	2.123187e+00	6.054993e-01	1.185005e-04
Initialising	2.211321e+00	6.099777e-01	1.186315e-04
Initialising	2.299533e+00	6.142197e-01	1.188025e-04
Initialising	2.387213e+00	6.187706e-01	1.189809e-04
Initialising	2.475377e+00	6.232033e-01	1.191956e-04
Initialising	2.563427e+00	6.275826e-01	1.189880e-04
Initialising	2.651691e+00	6.319351e-01	1.191322e-04
Initialising	2.739333e+00	6.363525e-01	1.195667e-04
Initialising	2.826792e+00	6.407585e-01	1.194623e-04
Initialising	2.914862e+00	6.450729e-01	1.196259e-04
Initialising	3.003539e+00	6.495857e-01	1.197062e-04
Initialising	3.090793e+00	6.539803e-01	1.196643e-04
Initialising	3.179281e+00	6.583405e-01	1.195656e-04
Initialising	3.266817e+00	6.627235e-01	1.195657e-04
Initialising	3.355017e+00	6.671410e-01	1.197097e-04
Initialising	3.443687e+00	6.714172e-01	1.197933e-04
Initialising	3.530971e+00	6.759300e-01	1.198432e-04
Initialising	3.618920e+00	6.802330e-01	1.201646e-04
Initialising	3.707170e+00	6.846504e-01	1.201488e-04
Initialising	3.795053e+00	6.891479e-01	1.205488e-04
Initialising	3.883339e+00	6.935387e-01	1.202558e-04
Initialising	3.971475e+00	6.979675e-01	1.203941e-04
Initialising	4.059195e+00	7.022705e-01	1.200156e-04
Initialising	4.147471e+00	7.067261e-01	1.204351e-04
Initialising	4.235044e+00	7.110825e-01	1.201938e-04
Initialising	4.323562e+00	7.155075e-01	1.201560e-04
Initialising	4.410839e+00	7.199783e-01	1.207035e-04
Initialising	4.499080e+00	7.243767e-01	1.205071e-04
Initialising	4.587438e+00	7.287407e-01	1.206242e-04
Initialising	4.675131e+00	7.331161e-01	1.206669e-04
Initialising	4.763011e+00	7.374763e-01	1.209089e-04
Initialising	4.851132e+00	7.419319e-01	1.210078e-04
Initialising	4.938721e+00	7.462769e-01	1.208698e-04
Initialising	5.027707e+00	7.507744e-01	1.208494e-04
Initialising	5.114837e+00	7.550316e-01	1.208309e-04
Initialising	5.203177e+00	7.594528e-01	1.209035e-04
Initialising	5.291550e+00	7.638512e-01	1.211125e-04
Initialising	5.379726e+00	7.683334e-01	1.209269e-04
Initialising	5.467404e+00	7.726555e-01	1.208963e-04
Initialising	5.555368e+00	7.770805e-01	1.211044e-04
Initialising	5.643222e+00	7.815132e-01	1.206934e-04
Initialising	5.730901e+00	7.858467e-01	1.210676e-04
Initialising	5.818979e+00	7.902451e-01	1.207801e-04
Initialising	5.907594e+00	7.947083e-01	1.212519e-04
Initialising	5.995014e+00	7.990456e-01	1.209799e-04
Initialising	6.083417e+00	8.034325e-01	1.209480e-04
Initialising	6.171265e+00	8.079300e-01	1.213031e-04
Initialising	6.259624e+00	8.123131e-01	1.214266e-04
Initialising	6.347309e+00	8.167229e-01	1.212326e-04
Initialising	6.435564e+00	8.211136e-01	1.215491e-04
Initialising	6.522996e+00	8.254547e-01	1.213348e-04
Initialising	6.611193e+00	8.298454e-01	1.214957e-04
Initialising	6.699586e+00	8.342438e-01	1.213282e-04
Initialising	6.787147e+00	8.386345e-01	1.216457e-04
Initialising	6.874878e+00	8.431091e-01	1.219627e-04
Initialising	6.963279e+00	8.474274e-01	1.217703e-04
Initialising	7.051044e+00	8.518562e-01	1.219003e-04
Initialising	7.138930e+00	8.562012e-01	1.215123e-04
Initialising	7.227728e+00	8.606987e-01	1.218715e-04
Initialising	7.314842e+00	8.651772e-01	1.215833e-04
Initialising	7.403009e+00	8.694229e-01	1.222734e-04
Initialising	7.491383e+00	8.739700e-01	1.223840e-04
Initialising	7.579330e+00	8.782578e-01	1.220682e-04
Initialising	7.667371e+00	8.826256e-01	1.218078e-04
Initialising	7.755536e+00	8.869896e-01	1.213384e-04
Initialising	7.843530e+00	8.914795e-01	1.218261e-04
Initialising	7.931012e+00	8.958702e-01	1.222517e-04
Initialising	8.019613e+00	9.002609e-01	1.217854e-04
Initialising	8.107188e+00	9.046707e-01	1.220978e-04
Initialising	8.194989e+00	9.090805e-01	1.216580e-04
Initialising	8.282707e+00	9.135056e-01	1.224213e-04
Initialising	8.370879e+00	9.178276e-01	1.219549e-04
Initialising	8.459349e+00	9.222565e-01	1.221397e-04
Initialising	8.546794e+00	9.266434e-01	1.220022e-04
Initialising	8.635320e+00	9.310646e-01	1.219236e-04
Initialising	8.723108e+00	9.354324e-01	1.218072e-04
Initialising	8.811688e+00	9.398537e-01	1.219283e-04
Initialising	8.899368e+00	9.443130e-01	1.223162e-04
Initialising	8.987266e+00	9.486504e-01	1.224622e-04
Initialising	9.075664e+00	9.530106e-01	1.219862e-04
Initialising	9.162902e+00	9.574509e-01	1.223127e-04
Initialising	9.251482e+00	9.617043e-01	1.216451e-04
Initialising	9.338830e+00	9.661827e-01	1.220602e-04
Initialising	9.426790e+00	9.705772e-01	1.222568e-04
Initialising	9.515187e+00	9.749680e-01	1.220939e-04
Initialising	9.603502e+00	9.793739e-01	1.225965e-04
Initialising	9.691415e+00	9.837914e-01	1.220273e-04
Initialising	9.778868e+00	9.882774e-01	1.228656e-04
Initialising	9.866983e+00	9.926758e-01	1.228365e-04
Holding	9.955599e+00	9.970360e-01	1.225164e-04
Holding	1.004321e+01	1.000683e+00	1.157794e-04
Holding	1.013165e+01	1.000687e+00	8.353293e-05
Holding	1.021911e+01	1.000610e+00	6.087434e-05
Holding	1.030682e+01	1.000561e+00	4.497457e-05
Holding	1.039486e+01	1.000591e+00	3.388393e-05
Holding	1.048295e+01	1.000576e+00	2.599776e-05
Holding	1.057082e+01	1.000557e+00	2.026749e-05
Holding	1.065966e+01	1.000614e+00	1.587427e-05
Holding	1.074752e+01	1.000641e+00	1.328480e-05
Holding	1.083547e+01	1.000633e+00	1.099479e-05
Holding	1.092325e+01	1.000637e+00	9.502411e-06
Holding	1.101125e+01	1.000553e+00	8.174419e-06
Holding	1.109912e+01	1.000614e+00	7.223129e-06
Holding	1.118744e+01	1.000576e+00	6.920815e-06
Holding	1.127495e+01	1.000561e+00	5.917549e-06
Holding	1.136335e+01	1.000690e+00	5.563498e-06
Holding	1.145104e+01	1.000587e+00	5.340219e-06
Holding	1.153961e+01	1.000675e+00	4.998803e-06
Holding	1.162697e+01	1.000530e+00	4.489064e-06
Holding	1.171489e+01	1.000706e+00	4.841805e-06
Holding	1.180287e+01	1.000469e+00	4.605889e-06
Holding	1.189115e+01	1.000542e+00	4.105806e-06
Holding	1.197912e+01	1.000599e+00	4.097581e-06
Holding	1.206723e+01	1.000599e+00	4.445553e-06
Holding	1.215527e+01	1.000668e+00	4.086971e-06
Holding	1.224314e+01	1.000561e+00	3.821611e-06
Holding	1.233167e+01	1.000587e+00	4.074693e-06
Holding	1.241887e+01	1.000580e+00	3.610611e-06
Holding	1.250696e+01	1.000656e+00	3.820419e-06
Holding	1.259511e+01	1.000748e+00	3.805041e-06
Holding	1.268306e+01	1.000557e+00	3.666282e-06
Holding	1.277112e+01	1.000542e+00	3.314614e-06
Holding	1.285910e+01	1.000671e+00	3.407836e-06
Holding	1.294762e+01	1.000648e+00	3.171682e-06
Holding	1.303564e+01	1.000641e+00	3.453732e-06
Holding	1.312320e+01	1.000683e+00	3.387451e-06
Holding	1.321153e+01	1.000622e+00	3.325582e-06
Holding	1.329897e+01	1.000580e+00	3.042102e-06
Holding	1.338703e+01	1.000591e+00	2.962232e-06
Holding	1.347533e+01	1.000603e+00	3.180027e-06
Holding	1.356280e+01	1.000591e+00	2.916574e-06
Holding	1.365128e+01	1.000656e+00	3.284931e-06
Holding	1.373935e+01	1.000660e+00	3.130794e-06
Holding	1.382763e+01	1.000664e+00	2.797246e-06
Holding	1.391496e+01	1.000679e+00	3.053904e-06
Holding	1.400350e+01	1.000671e+00	3.006458e-06
Holding	1.409146e+01	1.000534e+00	2.613306e-06
Holding	1.417937e+01	1.000652e+00	2.743006e-06
Holding	1.426708e+01	1.000591e+00	3.013611e-06
Holding	1.435559e+01	1.000633e+00	2.881050e-06
Holding	1.444323e+01	1.000618e+00	2.893567e-06
Holding	1.453103e+01	1.000725e+00	2.722979e-06
Holding	1.461914e+01	1.000591e+00	2.678514e-06
Holding	1.470669e+01	1.000683e+00	2.559543e-06
Holding	1.479493e+01	1.000462e+00	2.532482e-06
Holding	1.488303e+01	1.000637e+00	2.396584e-06
Sweeping	1.497114e+01	1.000637e+00	2.806783e-06
Sweeping	1.505882e+01	9.991074e-01	-9.520650e-06
Sweeping	1.514750e+01	9.945297e-01	-3.849733e-05
Sweeping	1.523517e+01	9.900932e-01	-5.890429e-05
Sweeping	1.532312e+01	9.857292e-01	-7.360423e-05
Sweeping	1.541107e+01	9.813118e-01	-8.340514e-05
Sweeping	1.549891e+01	9.768982e-01	-9.044456e-05
Sweeping	1.558714e+01	9.725189e-01	-9.546232e-05
Sweeping	1.567496e+01	9.680672e-01	-9.956372e-05
Sweeping	1.576357e+01	9.637337e-01	-1.020314e-04
Sweeping	1.585107e+01	9.592438e-01	-1.042209e-04
Sweeping	1.593922e+01	9.549484e-01	-1.057822e-04
Sweeping	1.602702e+01	9.504166e-01	-1.068808e-04
Sweeping	1.611536e+01	9.461212e-01	-1.077567e-04
Sweeping	1.620299e+01	9.416389e-01	-1.082575e-04
Sweeping	1.629087e+01	9.372940e-01	-1.086068e-04
Sweeping	1.637933e+01	9.328461e-01	-1.090317e-04
Sweeping	1.646682e+01	9.285011e-01	-1.092454e-04
Sweeping	1.655517e+01	9.241867e-01	-1.094815e-04
Sweeping	1.664301e+01	9.196815e-01	-1.101173e-04
Sweeping	1.673098e+01	9.153633e-01	-1.100971e-04
Sweeping	1.681945e+01	9.107475e-01	-1.106884e-04
Sweeping	1.690701e+01	9.066124e-01	-1.104400e-04
Sweeping	1.699522e+01	9.021873e-01	-1.109080e-04
Sweeping	1.708288e+01	8.977852e-01	-1.108069e-04
Sweeping	1.717112e+01	8.933983e-01	-1.108600e-04
Sweeping	1.725973e+01	8.889542e-01	-1.110935e-04
Sweeping	1.734736e+01	8.844490e-01	-1.114254e-04
Sweeping	1.743561e+01	8.801575e-01	-1.112008e-04
Sweeping	1.752339e+01	8.756409e-01	-1.114228e-04
Sweeping	1.761100e+01	8.712845e-01	-1.115395e-04
Sweeping	1.769930e+01	8.669243e-01	-1.114976e-04
Sweeping	1.778761e+01	8.625069e-01	-1.120330e-04
Sweeping	1.787479e+01	8.581009e-01	-1.120679e-04
Sweeping	1.796307e+01	8.536453e-01	-1.121494e-04
Sweeping	1.805164e+01	8.493156e-01	-1.121888e-04
Sweeping	1.813936e+01	8.449554e-01	-1.121837e-04
Sweeping	1.822730e+01	8.404961e-01	-1.121454e-04
Sweeping	1.831546e+01	8.362198e-01	-1.122310e-04
Sweeping	1.840317e+01	8.317909e-01	-1.118714e-04
Sweeping	1.849097e+01	8.273506e-01	-1.124480e-04
Sweeping	1.857937e+01	8.229485e-01	-1.121879e-04
Sweeping	1.866735e+01	8.185196e-01	-1.124716e-04
Sweeping	1.875525e+01	8.141670e-01	-1.124537e-04
Sweeping	1.884296e+01	8.096771e-01	-1.125373e-04
Sweeping	1.893137e+01	8.053741e-01	-1.125540e-04
Sweeping	1.901919e+01	8.009949e-01	-1.124431e-04
Sweeping	1.910755e+01	7.965927e-01	-1.124681e-04
Sweeping	1.919554e+01	7.922287e-01	-1.122895e-04
Sweeping	1.928376e+01	7.877579e-01	-1.124138e-04
Sweeping	1.937137e+01	7.833176e-01	-1.130017e-04
Sweeping	1.945903e+01	7.788658e-01	-1.131223e-04
Sweeping	1.954761e+01	7.746201e-01	-1.125126e-04
Sweeping	1.963563e+01	7.700539e-01	-1.131220e-04
Sweeping	1.972347e+01	7.657433e-01	-1.125804e-04
Sweeping	1.981123e+01	7.613869e-01	-1.127135e-04
Sweeping	1.989890e+01	7.570801e-01	-1.126318e-04
Sweeping	1.998734e+01	7.525711e-01	-1.128663e-04
Sweeping	2.007526e+01	7.480659e-01	-1.133391e-04
Sweeping	2.016339e+01	7.437668e-01	-1.130124e-04
Sweeping	2.025148e+01	7.393112e-01	-1.134012e-04
Sweeping	2.033893e+01	7.348900e-01	-1.137288e-04
Sweeping	2.042670e+01	7.307472e-01	-1.135006e-04
Sweeping	2.051564e+01	7.260742e-01	-1.133410e-04
Sweeping	2.060343e+01	7.217751e-01	-1.133164e-04
Sweeping	2.069129e+01	7.173424e-01	-1.135566e-04
Sweeping	2.077935e+01	7.129135e-01	-1.139182e-04
Sweeping	2.086682e+01	7.086105e-01	-1.131302e-04
Sweeping	2.095545e+01	7.040443e-01	-1.137608e-04
Sweeping	2.104301e+01	6.997261e-01	-1.134046e-04
Sweeping	2.113132e+01	6.953506e-01	-1.136807e-04
Sweeping	2.121882e+01	6.909256e-01	-1.135556e-04
Sweeping	2.130691e+01	6.866074e-01	-1.134146e-04
Sweeping	2.139527e+01	6.822243e-01	-1.138165e-04
Sweeping	2.148303e+01	6.776543e-01	-1.142112e-04
Sweeping	2.157074e+01	6.733131e-01	-1.135482e-04
Sweeping	2.165901e+01	6.689415e-01	-1.138481e-04
Sweeping	2.174713e+01	6.645584e-01	-1.138040e-04
Sweeping	2.183554e+01	6.600494e-01	-1.142601e-04
Sweeping	2.192280e+01	6.557999e-01	-1.138437e-04
Sweeping	2.201161e+01	6.514473e-01	-1.138847e-04
Sweeping	2.209933e+01	6.468925e-01	-1.137229e-04
Sweeping	2.218721e+01	6.426048e-01	-1.140214e-04
Sweeping	2.227474e+01	6.380920e-01	-1.139317e-04
Sweeping	2.236287e+01	6.338615e-01	-1.138005e-04
Sweeping	2.245140e+01	6.293983e-01	-1.137464e-04
Sweeping	2.253974e+01	6.250000e-01	-1.140373e-04
Sweeping	2.262687e+01	6.203842e-01	-1.144521e-04
Sweeping	2.271531e+01	6.161804e-01	-1.139891e-04
Sweeping	2.280333e+01	6.117363e-01	-1.142981e-04
Sweeping	2.289165e+01	6.073723e-01	-1.140664e-04
Sweeping	2.297955e+01	6.030159e-01	-1.142629e-04
Sweeping	2.306671e+01	5.984650e-01	-1.143413e-04
Sweeping	2.315488e+01	5.941238e-01	-1.141191e-04
Sweeping	2.324319e+01	5.898094e-01	-1.141168e-04
Sweeping	2.333130e+01	5.854797e-01	-1.143212e-04
Sweeping	2.341929e+01	5.809174e-01	-1.142758e-04
Sweeping	2.350679e+01	5.766335e-01	-1.142437e-04
Sweeping	2.359537e+01	5.721130e-01	-1.144918e-04
Sweeping	2.368296e+01	5.677643e-01	-1.142920e-04
Sweeping	2.377168e+01	5.634842e-01	-1.144003e-04
Sweeping	2.385927e+01	5.589447e-01	-1.147183e-04
Sweeping	2.394687e+01	5.545845e-01	-1.145028e-04
Sweeping	2.403484e+01	5.501900e-01	-1.143712e-04
Sweeping	2.412340e+01	5.457649e-01	-1.143955e-04
Sweeping	2.421155e+01	5.414047e-01	-1.145712e-04
Sweeping	2.429963e+01	5.369263e-01	-1.147286e-04
Sweeping	2.438743e+01	5.325394e-01	-1.144294e-04
Sweeping	2.447487e+01	5.281639e-01	-1.143646e-04
Sweeping	2.456371e+01	5.237732e-01	-1.145248e-04
Sweeping	2.465121e+01	5.193977e-01	-1.144477e-04
Sweeping	2.473949e+01	5.149536e-01	-1.144812e-04
Sweeping	2.482730e+01	5.105972e-01	-1.143945e-04
Sweeping	2.491490e+01	5.061913e-01	-1.148164e-04
