Experiment stage	Elapsed time (s)	Potential (V)	Current (A)
Initialising	1.913826e-01	5.048714e-01	-1.965547e-05
Initialising	2.793646e-01	5.031166e-01	-2.774704e-05
Holding	3.670297e-01	5.012779e-01	-3.293741e-05
Holding	4.546312e-01	5.006561e-01	-2.819479e-05
Holding	5.464927e-01	5.007706e-01	-2.013695e-05
Holding	6.345682e-01	5.006332e-01	-1.415920e-05
Holding	7.226453e-01	5.006866e-01	-1.013279e-05
Holding	8.104320e-01	5.007362e-01	-7.524371e-06
Holding	8.991515e-01	5.007286e-01	-5.526304e-06
Holding	9.865342e-01	5.006714e-01	-4.531860e-06
Holding	1.074889e+00	5.007782e-01	-3.183722e-06
Holding	1.163165e+00	5.007362e-01	-2.646565e-06
Holding	1.250688e+00	5.007362e-01	-2.099276e-06
Holding	1.338500e+00	5.006142e-01	-1.471162e-06
Holding	1.427230e+00	5.006943e-01	-1.251698e-06
Holding	1.514736e+00	5.007935e-01	-9.006262e-07
Holding	1.603139e+00	5.006638e-01	-1.446486e-06
Holding	1.691258e+00	5.007706e-01	-9.318590e-07
Holding	1.778606e+00	5.006638e-01	-8.471012e-07
Holding	1.866938e+00	5.006828e-01	-6.853342e-07
Holding	1.954415e+00	5.007935e-01	-5.886555e-07
Holding	2.043369e+00	5.006638e-01	-4.569292e-07
Holding	2.130512e+00	5.006676e-01	-6.409883e-07
Holding	2.218585e+00	5.007286e-01	-5.075932e-07
Holding	2.306890e+00	5.008049e-01	-6.345510e-07
Holding	2.394847e+00	5.006981e-01	-6.061792e-07
Holding	2.483044e+00	5.007362e-01	-6.549358e-07
Holding	2.570464e+00	5.007439e-01	-5.044937e-07
Holding	2.659414e+00	5.007553e-01	-1.741648e-07
Holding	2.747191e+00	5.007362e-01	-2.552271e-07
Holding	2.835126e+00	5.007172e-01	-5.003214e-07
Holding	2.923298e+00	5.007362e-01	-4.788637e-07
Holding	3.011052e+00	5.007362e-01	-3.291368e-07
Holding	3.098750e+00	5.007057e-01	-2.194643e-07
Holding	3.187311e+00	5.006828e-01	-8.475780e-08
Holding	3.274607e+00	5.007896e-01	-4.345179e-07
Holding	3.363116e+00	5.006790e-01	-4.086494e-07
Holding	3.450464e+00	5.007286e-01	-3.648996e-07
Holding	3.538547e+00	5.008202e-01	-9.977818e-08
Holding	3.627159e+00	5.007744e-01	-1.912117e-07
Holding	3.714365e+00	5.007362e-01	3.027916e-08
Holding	3.802904e+00	5.007286e-01	-2.564192e-07
Holding	3.890690e+00	5.007133e-01	-1.187325e-07
Holding	3.978691e+00	5.006714e-01	-2.065897e-07
Holding	4.067145e+00	5.006943e-01	-2.814531e-07
Holding	4.155036e+00	5.006866e-01	-1.100302e-07
Holding	4.243152e+00	5.006828e-01	-2.169609e-07
Holding	4.330784e+00	5.008011e-01	-1.485348e-07
Holding	4.419033e+00	5.007362e-01	-2.173185e-07
Holding	4.507022e+00	5.007019e-01	-2.062321e-07
Holding	4.595401e+00	5.008125e-01	-8.201599e-08
Holding	4.682792e+00	5.006256e-01	-3.466606e-07
Holding	4.771380e+00	5.006905e-01	-9.500980e-08
Holding	4.859041e+00	5.007629e-01	-3.222227e-07
Holding	4.946694e+00	5.007896e-01	-1.304150e-07
Holding	5.034517e+00	5.007324e-01	2.324581e-08
Holding	5.123403e+00	5.007629e-01	-5.960464e-08
Holding	5.211321e+00	5.007286e-01	4.589558e-08
Holding	5.299370e+00	5.006065e-01	-4.875660e-08
Sweeping	5.387194e+00	5.007668e-01	-6.783009e-08
