Experiment stage	Elapsed time (s)	Potential (V)	Current (A)
Initialising	1.927759e-01	9.964180e-01	2.834582e-05
Initialising	2.812488e-01	9.981499e-01	3.425515e-05
Holding	3.687603e-01	9.999657e-01	3.896475e-05
Holding	4.575366e-01	1.000587e+00	3.338671e-05
Holding	5.455100e-01	1.000584e+00	2.455354e-05
Holding	6.334291e-01	1.000671e+00	1.819623e-05
Holding	7.209962e-01	1.000565e+00	1.392782e-05
Holding	8.087218e-01	1.000648e+00	1.055682e-05
Holding	8.971494e-01	1.000633e+00	8.240223e-06
Holding	9.854257e-01	1.000603e+00	6.768107e-06
Holding	1.073417e+00	1.000561e+00	5.728960e-06
Holding	1.161029e+00	1.000576e+00	4.779220e-06
Holding	1.249155e+00	1.000511e+00	4.147410e-06
Holding	1.336800e+00	1.000633e+00	3.899097e-06
Holding	1.424594e+00	1.000553e+00	3.561139e-06
Holding	1.512734e+00	1.000595e+00	3.403306e-06
Holding	1.601112e+00	1.000607e+00	3.106475e-06
Holding	1.689066e+00	1.000603e+00	3.021002e-06
Holding	1.777554e+00	1.000515e+00	2.878666e-06
Holding	1.864958e+00	1.000614e+00	2.532125e-06
Holding	1.953414e+00	1.000546e+00	2.703667e-06
Holding	2.040582e+00	1.000660e+00	2.830625e-06
Holding	2.129408e+00	1.000542e+00	2.416849e-06
Holding	2.217191e+00	1.000553e+00	2.440810e-06
Holding	2.305268e+00	1.000599e+00	2.660394e-06
Holding	2.392697e+00	1.000488e+00	2.322555e-06
Holding	2.480515e+00	1.000671e+00	2.590656e-06
Holding	2.569341e+00	1.000591e+00	2.227902e-06
Holding	2.657321e+00	1.000526e+00	2.238154e-06
Holding	2.745408e+00	1.000526e+00	2.313018e-06
Holding	2.833319e+00	1.000656e+00	2.474308e-06
Holding	2.921410e+00	1.000576e+00	2.002120e-06
Holding	3.008715e+00	1.000618e+00	2.621174e-06
Holding	3.097043e+00	1.000523e+00	2.251983e-06
Holding	3.185249e+00	1.000687e+00	2.173901e-06
Holding	3.273367e+00	1.000626e+00	2.074957e-06
Holding	3.360852e+00	1.000656e+00	2.153993e-06
Holding	3.448594e+00	1.000641e+00	2.643347e-06
Holding	3.537033e+00	1.000599e+00	2.241254e-06
Holding	3.625526e+00	1.000652e+00	2.068281e-06
Holding	3.713337e+00	1.000698e+00	1.990676e-06
Holding	3.800604e+00	1.000584e+00	2.242088e-06
Holding	3.888883e+00	1.000614e+00	2.213478e-06
Holding	3.976722e+00	1.000614e+00	2.028704e-06
Holding	4.065492e+00	1.000565e+00	2.051830e-06
Holding	4.153055e+00	1.000484e+00	2.188325e-06
Holding	4.241388e+00	1.000603e+00	2.079487e-06
Holding	4.328838e+00	1.000668e+00	2.338767e-06
Holding	4.416985e+00	1.000607e+00	2.149463e-06
Holding	4.505160e+00	1.000565e+00	1.883626e-06
Holding	4.592964e+00	1.000679e+00	2.375603e-06
Holding	4.680947e+00	1.000675e+00	2.423763e-06
Holding	4.768744e+00	1.000679e+00	2.018690e-06
Holding	4.856888e+00	1.000530e+00	1.874089e-06
Holding	4.945035e+00	1.000607e+00	2.142787e-06
Holding	5.033223e+00	1.000519e+00	1.840711e-06
Holding	5.121180e+00	1.000641e+00	2.280235e-06
Holding	5.208946e+00	1.000584e+00	1.954794e-06
Holding	5.296853e+00	1.000610e+00	2.196670e-06
Sweeping	5.385399e+00	1.000740e+00	2.316236e-06
Sweeping	5.472875e+00	9.993210e-01	-8.232474e-06
Sweeping	5.560961e+00	9.974976e-01	-1.849902e-05
Sweeping	5.648852e+00	9.957733e-01	-2.614164e-05
Sweeping	5.736631e+00	9.939651e-01	-3.107715e-05
Sweeping	5.824572e+00	9.921875e-01	-3.479540e-05
Sweeping	5.912479e+00	9.904022e-01	-3.744698e-05
Sweeping	6.001332e+00	9.886589e-01	-3.925252e-05
Sweeping	6.089420e+00	9.868279e-01	-4.071081e-05
Sweeping	6.177086e+00	9.850998e-01	-4.244566e-05
Sweeping	6.265385e+00	9.833717e-01	-4.252863e-05
Sweeping	6.352923e+00	9.816399e-01	-4.297650e-05
Sweeping	6.440606e+00	9.797935e-01	-4.342890e-05
Sweeping	6.528613e+00	9.780273e-01	-4.358435e-05
Sweeping	6.616565e+00	9.762878e-01	-4.415643e-05
Sweeping	6.705223e+00	9.745445e-01	-4.410565e-05
Sweeping	6.793141e+00	9.729080e-01	-4.417884e-05
Sweeping	6.880970e+00	9.710274e-01	-4.454720e-05
Sweeping	6.969210e+00	9.692154e-01	-4.454839e-05
Sweeping	7.057201e+00	9.674721e-01	-4.507029e-05
Sweeping	7.145342e+00	9.656830e-01	-4.430330e-05
Sweeping	7.233205e+00	9.639740e-01	-4.474986e-05
Sweeping	7.320582e+00	9.622803e-01	-4.477334e-05
Sweeping	7.409312e+00	9.604416e-01	-4.483259e-05
Sweeping	7.497146e+00	9.586296e-01	-4.511011e-05
Sweeping	7.585330e+00	9.569168e-01	-4.514933e-05
Sweeping	7.673518e+00	9.551315e-01	-4.481065e-05
Sweeping	7.761294e+00	9.534607e-01	-4.504359e-05
Sweeping	7.848613e+00	9.516907e-01	-4.520977e-05
Sweeping	7.937413e+00	9.498749e-01	-4.506123e-05
Sweeping	8.024584e+00	9.481163e-01	-4.513144e-05
Sweeping	8.113020e+00	9.464684e-01	-4.496968e-05
Sweeping	8.201368e+00	9.446030e-01	-4.540265e-05
Sweeping	8.289414e+00	9.427681e-01	-4.538524e-05
Sweeping	8.377443e+00	9.411392e-01	-4.531682e-05
Sweeping	8.465525e+00	9.393768e-01	-4.514062e-05
Sweeping	8.552783e+00	9.375648e-01	-4.542649e-05
Sweeping	8.641312e+00	9.358864e-01	-4.531121e-05
Sweeping	8.729271e+00	9.341621e-01	-4.535818e-05
Sweeping	8.817275e+00	9.322662e-01	-4.542840e-05
Sweeping	8.905096e+00	9.305229e-01	-4.569876e-05
Sweeping	8.992761e+00	9.287720e-01	-4.544270e-05
Sweeping	9.081058e+00	9.270363e-01	-4.539943e-05
Sweeping	9.168854e+00	9.252968e-01	-4.561901e-05
Sweeping	9.256791e+00	9.234734e-01	-4.613388e-05
Sweeping	9.344790e+00	9.217796e-01	-4.560733e-05
Sweeping	9.433052e+00	9.198761e-01	-4.576600e-05
