Experiment stage	Elapsed time (s)	Potential (V)	Current (A)
Initialising	1.900895e-01	4.967728e-01	2.574658e-05
Initialising	2.779961e-01	4.986229e-01	3.243089e-05
Holding	3.653415e-01	5.004005e-01	3.711009e-05
Holding	4.538551e-01	5.006599e-01	2.957499e-05
Holding	5.420456e-01	5.007172e-01	2.124190e-05
Holding	6.301486e-01	5.007057e-01	1.582384e-05
Holding	7.182524e-01	5.007629e-01	1.186061e-05
Holding	8.056946e-01	5.007515e-01	9.044290e-06
Holding	8.941620e-01	5.007286e-01	7.327437e-06
Holding	9.818598e-01	5.006065e-01	5.586982e-06
Holding	1.070081e+00	5.008011e-01	4.623413e-06
Holding	1.157517e+00	5.006676e-01	4.152417e-06
Holding	1.245511e+00	5.006485e-01	3.409624e-06
Holding	1.333924e+00	5.007439e-01	2.865672e-06
Holding	1.422162e+00	5.006752e-01	2.558351e-06
Holding	1.509802e+00	5.007095e-01	2.378106e-06
Holding	1.597576e+00	5.007362e-01	2.528667e-06
Holding	1.685813e+00	5.006943e-01	2.009630e-06
Holding	1.773346e+00	5.006638e-01	2.270937e-06
Holding	1.861311e+00	5.007286e-01	2.108812e-06
Holding	1.949967e+00	5.007019e-01	1.893163e-06
Holding	2.037937e+00	5.006828e-01	1.899600e-06
Holding	2.125796e+00	5.007057e-01	1.819968e-06
Holding	2.213821e+00	5.007019e-01	1.749158e-06
Holding	2.301623e+00	5.007362e-01	1.999497e-06
Holding	2.390136e+00	5.007248e-01	1.556993e-06
Holding	2.477305e+00	5.006485e-01	1.891494e-06
Holding	2.566011e+00	5.007210e-01	1.705885e-06
Holding	2.653338e+00	5.007477e-01	1.712441e-06
Holding	2.741421e+00	5.006599e-01	1.555562e-06
Holding	2.830161e+00	5.007286e-01	1.707911e-06
Holding	2.917432e+00	5.006828e-01	1.716375e-06
Holding	3.005688e+00	5.007324e-01	1.607418e-06
Holding	3.094163e+00	5.007629e-01	1.415968e-06
Holding	3.182198e+00	5.007629e-01	1.409411e-06
Holding	3.269695e+00	5.006790e-01	1.450419e-06
Holding	3.358046e+00	5.006371e-01	1.668572e-06
Holding	3.446142e+00	5.007591e-01	1.522303e-06
Holding	3.533507e+00	5.008202e-01	1.407266e-06
Holding	3.621237e+00	5.005646e-01	1.198769e-06
Holding	3.709715e+00	5.006523e-01	1.391649e-06
Holding	3.797701e+00	5.007172e-01	1.879215e-06
Holding	3.885524e+00	5.006638e-01	1.433253e-06
Holding	3.973476e+00	5.007744e-01	1.541138e-06
Holding	4.061904e+00	5.007210e-01	1.405597e-06
Holding	4.149466e+00	5.006905e-01	1.168847e-06
Holding	4.238183e+00	5.006294e-01	1.243114e-06
Holding	4.325588e+00	5.006790e-01	1.327634e-06
Holding	4.413545e+00	5.007286e-01	1.289845e-06
Holding	4.501768e+00	5.007591e-01	1.373529e-06
Holding	4.589752e+00	5.007439e-01	1.196504e-06
Holding	4.677874e+00	5.007706e-01	1.337409e-06
Holding	4.766138e+00	5.006409e-01	1.344323e-06
Holding	4.854009e+00	5.006943e-01	1.363397e-06
Holding	4.941825e+00	5.007439e-01	1.143217e-06
Holding	5.029900e+00	5.007248e-01	1.442075e-06
Holding	5.117805e+00	5.007362e-01	1.523256e-06
Holding	5.205438e+00	5.007210e-01	1.244783e-06
Holding	5.293530e+00	5.006981e-01	1.509786e-06
Sweeping	5.381888e+00	5.007286e-01	1.513481e-06
Sweeping	5.469294e+00	5.024605e-01	1.451492e-05
Sweeping	5.557848e+00	5.040970e-01	2.384663e-05
Sweeping	5.645450e+00	5.060081e-01	3.081656e-05
Sweeping	5.734118e+00	5.076942e-01	3.533888e-05
Sweeping	5.821607e+00	5.094910e-01	3.889203e-05
Sweeping	5.909371e+00	5.112267e-01	4.058754e-05
Sweeping	5.997612e+00	5.128288e-01	4.295170e-05
Sweeping	6.085792e+00	5.146904e-01	4.378700e-05
Sweeping	6.174041e+00	5.164375e-01	4.507923e-05
Sweeping	6.261592e+00	5.182419e-01	4.551208e-05
Sweeping	6.350004e+00	5.200615e-01	4.631674e-05
Sweeping	6.437658e+00	5.217972e-01	4.642558e-05
Sweeping	6.526255e+00	5.236244e-01	4.702008e-05
Sweeping	6.613691e+00	5.252991e-01	4.691267e-05
Sweeping	6.701844e+00	5.270233e-01	4.712582e-05
Sweeping	6.790189e+00	5.288620e-01	4.719234e-05
Sweeping	6.877506e+00	5.305252e-01	4.736149e-05
Sweeping	6.965482e+00	5.324097e-01	4.772341e-05
Sweeping	7.053666e+00	5.340576e-01	4.750085e-05
Sweeping	7.141903e+00	5.358696e-01	4.762948e-05
Sweeping	7.229962e+00	5.375900e-01	4.751825e-05
Sweeping	7.317697e+00	5.394707e-01	4.785287e-05
Sweeping	7.406230e+00	5.412331e-01	4.772842e-05
Sweeping	7.493723e+00	5.428619e-01	4.761231e-05
Sweeping	7.581418e+00	5.446472e-01	4.779923e-05
Sweeping	7.669616e+00	5.464363e-01	4.821873e-05
Sweeping	7.758267e+00	5.482254e-01	4.820478e-05
Sweeping	7.845722e+00	5.498428e-01	4.799914e-05
Sweeping	7.934152e+00	5.516472e-01	4.806423e-05
Sweeping	8.022023e+00	5.534744e-01	4.814517e-05
Sweeping	8.110069e+00	5.552483e-01	4.819798e-05
Sweeping	8.197728e+00	5.569305e-01	4.839170e-05
Sweeping	8.285732e+00	5.586357e-01	4.808497e-05
Sweeping	8.373486e+00	5.605087e-01	4.828799e-05
Sweeping	8.461794e+00	5.621758e-01	4.811096e-05
Sweeping	8.549941e+00	5.639610e-01	4.815245e-05
Sweeping	8.637320e+00	5.657387e-01	4.805899e-05
Sweeping	8.726271e+00	5.675659e-01	4.853857e-05
Sweeping	8.813610e+00	5.692635e-01	4.811621e-05
Sweeping	8.901962e+00	5.710335e-01	4.825222e-05
Sweeping	8.989606e+00	5.727844e-01	4.820919e-05
Sweeping	9.077239e+00	5.745850e-01	4.837120e-05
Sweeping	9.166000e+00	5.762978e-01	4.823518e-05
Sweeping	9.254148e+00	5.780487e-01	4.804456e-05
Sweeping	9.341326e+00	5.797310e-01	4.821241e-05
Sweeping	9.429698e+00	5.815735e-01	4.843736e-05
Sweeping	9.517777e+00	5.832863e-01	4.870534e-05
Sweeping	9.605331e+00	5.851364e-01	4.836977e-05
Sweeping	9.693634e+00	5.868149e-01	4.856718e-05
Sweeping	9.781334e+00	5.885658e-01	4.828858e-05
Sweeping	9.869894e+00	5.903282e-01	4.856336e-05
Sweeping	9.957320e+00	5.920753e-01	4.822683e-05
Sweeping	1.004569e+01	5.938797e-01	4.821026e-05
Sweeping	1.013338e+01	5.955734e-01	4.805911e-05
Sweeping	1.022192e+01	5.974655e-01	4.896069e-05
Sweeping	1.030988e+01	5.991592e-01	4.842079e-05
Sweeping	1.039786e+01	6.008224e-01	4.841876e-05
Sweeping	1.048589e+01	6.026497e-01	4.832304e-05
Sweeping	1.057419e+01	6.044197e-01	4.851556e-05
Sweeping	1.066160e+01	6.062050e-01	4.869127e-05
Sweeping	1.074970e+01	6.080475e-01	4.887092e-05
Sweeping	1.083778e+01	6.098022e-01	4.863858e-05
Sweeping	1.092613e+01	6.114464e-01	4.865658e-05
Sweeping	1.101413e+01	6.132507e-01	4.895103e-05
Sweeping	1.110149e+01	6.151619e-01	4.872739e-05
Sweeping	1.118993e+01	6.167221e-01	4.841650e-05
Sweeping	1.127772e+01	6.185036e-01	4.900897e-05
Sweeping	1.136537e+01	6.202354e-01	4.859662e-05
Sweeping	1.145423e+01	6.221619e-01	4.906106e-05
Sweeping	1.154163e+01	6.238441e-01	4.864645e-05
Sweeping	1.162951e+01	6.256294e-01	4.895556e-05
Sweeping	1.171808e+01	6.273918e-01	4.887915e-05
Sweeping	1.180569e+01	6.290550e-01	4.871762e-05
Sweeping	1.189390e+01	6.308784e-01	4.840446e-05
Sweeping	1.198137e+01	6.326103e-01	4.864192e-05
Sweeping	1.206993e+01	6.343346e-01	4.889727e-05
Sweeping	1.215738e+01	6.361160e-01	4.841673e-05
Sweeping	1.224570e+01	6.380234e-01	4.851747e-05
Sweeping	1.233386e+01	6.397057e-01	4.864407e-05
Sweeping	1.242203e+01	6.414261e-01	4.911792e-05
Sweeping	1.250956e+01	6.432724e-01	4.864061e-05
Sweeping	1.259733e+01	6.448898e-01	4.868615e-05
Sweeping	1.268572e+01	6.467018e-01	4.919696e-05
Sweeping	1.277414e+01	6.484756e-01	4.904902e-05
Sweeping	1.286146e+01	6.501999e-01	4.889321e-05
Sweeping	1.294982e+01	6.519928e-01	4.859841e-05
Sweeping	1.303801e+01	6.536827e-01	4.861176e-05
Sweeping	1.312549e+01	6.555061e-01	4.871786e-05
Sweeping	1.321413e+01	6.573448e-01	4.914618e-05
Sweeping	1.330189e+01	6.589584e-01	4.879570e-05
Sweeping	1.339005e+01	6.608200e-01	4.879415e-05
Sweeping	1.347792e+01	6.626205e-01	4.909241e-05
Sweeping	1.356624e+01	6.642418e-01	4.863846e-05
Sweeping	1.365329e+01	6.660881e-01	4.891193e-05
Sweeping	1.374215e+01	6.678772e-01	4.908323e-05
Sweeping	1.382973e+01	6.695671e-01	4.900146e-05
Sweeping	1.391731e+01	6.713066e-01	4.892492e-05
Sweeping	1.400553e+01	6.731186e-01	4.880679e-05
Sweeping	1.409396e+01	6.748886e-01	4.872561e-05
Sweeping	1.418137e+01	6.766815e-01	4.910934e-05
Sweeping	1.426970e+01	6.783447e-01	4.875863e-05
Sweeping	1.435765e+01	6.801414e-01	4.868484e-05
Sweeping	1.444566e+01	6.818810e-01	4.875624e-05
Sweeping	1.453374e+01	6.834984e-01	4.878390e-05
Sweeping	1.462174e+01	6.853600e-01	4.888594e-05
Sweeping	1.471014e+01	6.870995e-01	4.912949e-05
Sweeping	1.479754e+01	6.889343e-01	4.906881e-05
Sweeping	1.488621e+01	6.906586e-01	4.896688e-05
Sweeping	1.497346e+01	6.923561e-01	4.892623e-05
Sweeping	1.506198e+01	6.941948e-01	4.890990e-05
Sweeping	1.514961e+01	6.959343e-01	4.886484e-05
Sweeping	1.523739e+01	6.977577e-01	4.922605e-05
Sweeping	1.532538e+01	6.994781e-01	4.896259e-05
Sweeping	1.541331e+01	7.012787e-01	4.890943e-05
Sweeping	1.550170e+01	7.029266e-01	4.870129e-05
Sweeping	1.558932e+01	7.047997e-01	4.906857e-05
Sweeping	1.567743e+01	7.064972e-01	4.908621e-05
Sweeping	1.576552e+01	7.082863e-01	4.920542e-05
Sweeping	1.585382e+01	7.099419e-01	4.866803e-05
Sweeping	1.594180e+01	7.118950e-01	4.900110e-05
Sweeping	1.603019e+01	7.135124e-01	4.904187e-05
Sweeping	1.611810e+01	7.153397e-01	4.925251e-05
Sweeping	1.620540e+01	7.170334e-01	4.891109e-05
Sweeping	1.629404e+01	7.187958e-01	4.929709e-05
Sweeping	1.638173e+01	7.206917e-01	4.916286e-05
Sweeping	1.647029e+01	7.224350e-01	4.899955e-05
Sweeping	1.655827e+01	7.240524e-01	4.902673e-05
Sweeping	1.664597e+01	7.259331e-01	4.938674e-05
Sweeping	1.673354e+01	7.275124e-01	4.871881e-05
Sweeping	1.682187e+01	7.293434e-01	4.897749e-05
Sweeping	1.691023e+01	7.312050e-01	4.886019e-05
Sweeping	1.699789e+01	7.329330e-01	4.914832e-05
Sweeping	1.708617e+01	7.346001e-01	4.906583e-05
Sweeping	1.717426e+01	7.363853e-01	4.878843e-05
Sweeping	1.726224e+01	7.382812e-01	4.970205e-05
Sweeping	1.734961e+01	7.398834e-01	4.922533e-05
Sweeping	1.743790e+01	7.416840e-01	4.912972e-05
Sweeping	1.752549e+01	7.435303e-01	4.948127e-05
Sweeping	1.761378e+01	7.452202e-01	4.945648e-05
Sweeping	1.770158e+01	7.470436e-01	4.930353e-05
Sweeping	1.778973e+01	7.487793e-01	4.910028e-05
Sweeping	1.787815e+01	7.505150e-01	4.935431e-05
Sweeping	1.796615e+01	7.523270e-01	4.916513e-05
Sweeping	1.805358e+01	7.540817e-01	4.911447e-05
Sweeping	1.814137e+01	7.557755e-01	4.923737e-05
Sweeping	1.822955e+01	7.575378e-01	4.911506e-05
Sweeping	1.831787e+01	7.593079e-01	4.922795e-05
Sweeping	1.840568e+01	7.610359e-01	4.910636e-05
Sweeping	1.849420e+01	7.629318e-01	4.939282e-05
Sweeping	1.858152e+01	7.646179e-01	4.948342e-05
Sweeping	1.866983e+01	7.663155e-01	4.889154e-05
Sweeping	1.875745e+01	7.680588e-01	4.910922e-05
Sweeping	1.884576e+01	7.699394e-01	4.936898e-05
Sweeping	1.893349e+01	7.716179e-01	4.907167e-05
Sweeping	1.902197e+01	7.733574e-01	4.891348e-05
Sweeping	1.910942e+01	7.751808e-01	4.897988e-05
