Experiment stage	Elapsed time (s)	Potential (V)	Current (A)
Initialising	1.871406e-01	2.806854e-02	-8.984685e-06
Initialising	2.755033e-01	2.635193e-02	-1.984584e-05
Initialising	3.633267e-01	2.447128e-02	-2.731180e-05
Initialising	4.508294e-01	2.283478e-02	-3.246558e-05
Initialising	5.394044e-01	2.112579e-02	-3.596354e-05
Initialising	6.272545e-01	1.922226e-02	-3.918731e-05
Initialising	7.145994e-01	1.753998e-02	-4.090643e-05
Initialising	8.033457e-01	1.579666e-02	-4.220331e-05
Initialising	8.915550e-01	1.401901e-02	-4.341793e-05
Initialising	9.791457e-01	1.236343e-02	-4.396427e-05
Initialising	1.067409e+00	1.052094e-02	-4.439378e-05
Initialising	1.155431e+00	8.850098e-03	-4.513788e-05
Initialising	1.243217e+00	7.114410e-03	-4.528105e-05
Initialising	1.331212e+00	5.252838e-03	-4.548562e-05
Initialising	1.419210e+00	3.555298e-03	-4.562020e-05
Holding	1.507051e+00	1.846313e-03	-4.577112e-05
Holding	1.595473e+00	8.468628e-04	-4.021394e-05
Holding	1.682807e+00	8.201599e-04	-2.850866e-05
Holding	1.770809e+00	8.087158e-04	-2.066755e-05
Holding	1.859339e+00	8.850098e-04	-1.487827e-05
Holding	1.946877e+00	7.705688e-04	-1.091838e-05
Holding	2.035441e+00	7.896423e-04	-8.271575e-06
Holding	2.123385e+00	8.125305e-04	-6.251574e-06
Holding	2.210994e+00	8.049011e-04	-4.750133e-06
Holding	2.299355e+00	8.621216e-04	-3.390431e-06
Holding	2.386799e+00	8.354187e-04	-2.679706e-06
Holding	2.475494e+00	8.277893e-04	-2.140880e-06
Holding	2.563077e+00	9.918213e-04	-1.617432e-06
Holding	2.650863e+00	8.010864e-04	-1.664281e-06
Holding	2.739112e+00	9.002686e-04	-9.750128e-07
Holding	2.826908e+00	8.201599e-04	-8.924007e-07
Holding	2.914932e+00	8.583069e-04	-9.342432e-07
Holding	3.003305e+00	8.277893e-04	-8.492470e-07
Holding	3.090821e+00	8.277893e-04	-6.858110e-07
Holding	3.179466e+00	8.316040e-04	-6.657839e-07
Holding	3.267234e+00	8.735657e-04	-4.439354e-07
Holding	3.355420e+00	9.078979e-04	-8.275509e-07
Holding	3.442978e+00	7.820129e-04	-6.568432e-07
Holding	3.531420e+00	8.888245e-04	-9.447336e-07
Holding	3.618625e+00	7.476807e-04	-2.555847e-07
Holding	3.707059e+00	8.239746e-04	-4.159212e-07
Holding	3.795429e+00	9.155273e-04	-4.225969e-07
Holding	3.883544e+00	8.087158e-04	-7.719994e-07
Holding	3.970901e+00	7.705688e-04	-7.756948e-07
Holding	4.058727e+00	8.850098e-04	-4.013777e-07
Holding	4.147335e+00	9.574890e-04	1.037121e-08
Holding	4.234922e+00	9.193420e-04	-2.235174e-07
Holding	4.322995e+00	9.040833e-04	-3.813505e-07
Holding	4.410859e+00	8.163452e-04	-2.839565e-07
Holding	4.499230e+00	9.002686e-04	-2.313852e-07
Holding	4.586618e+00	8.659363e-04	-5.074739e-07
Holding	4.674875e+00	8.316040e-04	-2.652407e-07
Holding	4.762781e+00	8.697510e-04	-1.543760e-07
Holding	4.850598e+00	8.277893e-04	-3.694296e-07
Holding	4.939057e+00	7.858276e-04	-2.303123e-07
Holding	5.027434e+00	9.193420e-04	-8.916855e-08
Holding	5.114883e+00	8.087158e-04	-4.237890e-07
Holding	5.203094e+00	8.888245e-04	-9.119511e-08
