Experiment stage	Elapsed time (s)	Potential (V)	Current (A)
Initialising	1.901256e-01	4.937782e-01	-3.237414e-05
Initialising	2.783267e-01	4.893227e-01	-5.477977e-05
Initialising	3.668938e-01	4.848709e-01	-7.069874e-05
Initialising	4.540721e-01	4.803848e-01	-8.173490e-05
Initialising	5.421505e-01	4.761925e-01	-8.908677e-05
Initialising	6.304079e-01	4.715385e-01	-9.501481e-05
Initialising	7.182973e-01	4.671783e-01	-9.862113e-05
Initialising	8.059887e-01	4.628983e-01	-1.019068e-04
Initialising	8.943103e-01	4.584656e-01	-1.040674e-04
Initialising	9.825074e-01	4.541473e-01	-1.058569e-04
Initialising	1.070542e+00	4.495964e-01	-1.068844e-04
Initialising	1.158532e+00	4.452553e-01	-1.076381e-04
Initialising	1.246075e+00	4.408226e-01	-1.091307e-04
Initialising	1.334669e+00	4.365959e-01	-1.093191e-04
Initialising	1.422944e+00	4.320297e-01	-1.095788e-04
Initialising	1.510577e+00	4.276428e-01	-1.101724e-04
Initialising	1.598901e+00	4.231911e-01	-1.105841e-04
Initialising	1.686303e+00	4.187775e-01	-1.106913e-04
Initialising	1.774304e+00	4.144211e-01	-1.110227e-04
Initialising	1.862265e+00	4.101295e-01	-1.108080e-04
Initialising	1.950165e+00	4.056435e-01	-1.109422e-04
Initialising	2.038525e+00	4.012756e-01	-1.113985e-04
Initialising	2.126248e+00	3.969193e-01	-1.114995e-04
Initialising	2.214320e+00	3.925819e-01	-1.113946e-04
Initialising	2.301997e+00	3.882027e-01	-1.117861e-04
Initialising	2.390671e+00	3.838043e-01	-1.118827e-04
Initialising	2.478820e+00	3.792915e-01	-1.122757e-04
Initialising	2.566793e+00	3.748627e-01	-1.118743e-04
Initialising	2.654070e+00	3.706093e-01	-1.118314e-04
Initialising	2.742578e+00	3.661575e-01	-1.120235e-04
Initialising	2.830308e+00	3.616028e-01	-1.124967e-04
Initialising	2.918809e+00	3.573685e-01	-1.125505e-04
Initialising	3.006385e+00	3.527985e-01	-1.127763e-04
Initialising	3.094101e+00	3.485184e-01	-1.121850e-04
Initialising	3.182795e+00	3.440895e-01	-1.125619e-04
Initialising	3.270514e+00	3.396645e-01	-1.129638e-04
Initialising	3.358955e+00	3.352814e-01	-1.127299e-04
Initialising	3.446377e+00	3.308487e-01	-1.132101e-04
Initialising	3.534025e+00	3.264923e-01	-1.128526e-04
Initialising	3.622040e+00	3.220901e-01	-1.124027e-04
Initialising	3.710664e+00	3.177681e-01	-1.130687e-04
Initialising	3.798710e+00	3.133278e-01	-1.130488e-04
Initialising	3.886136e+00	3.089142e-01	-1.131787e-04
Initialising	3.974279e+00	3.045654e-01	-1.128688e-04
Initialising	4.062194e+00	3.001633e-01	-1.129645e-04
Initialising	4.150861e+00	2.958107e-01	-1.132997e-04
Initialising	4.238824e+00	2.912598e-01	-1.131154e-04
Initialising	4.326732e+00	2.869720e-01	-1.132215e-04
Initialising	4.414248e+00	2.825012e-01	-1.133242e-04
Initialising	4.502181e+00	2.781219e-01	-1.135304e-04
Initialising	4.590578e+00	2.737122e-01	-1.130704e-04
Initialising	4.678303e+00	2.693100e-01	-1.133878e-04
Initialising	4.766347e+00	2.649422e-01	-1.135906e-04
Initialising	4.854204e+00	2.605362e-01	-1.137726e-04
