Experiment stage	Elapsed time (s)	Potential (V)	Current (A)
Initialising	1.900018e-01	9.943352e-01	-2.861810e-05
Initialising	2.774046e-01	9.897461e-01	-5.258846e-05
Initialising	3.655991e-01	9.853745e-01	-6.852806e-05
Initialising	4.576623e-01	9.808922e-01	-7.968652e-05
Initialising	5.457841e-01	9.762764e-01	-8.888006e-05
Initialising	6.332550e-01	9.719543e-01	-9.423530e-05
Initialising	7.220122e-01	9.674950e-01	-9.850311e-05
Initialising	8.093298e-01	9.630394e-01	-1.015244e-04
Initialising	8.973214e-01	9.588242e-01	-1.033350e-04
Initialising	9.854965e-01	9.543457e-01	-1.052717e-04
Initialising	1.073561e+00	9.498291e-01	-1.064759e-04
Initialising	1.161665e+00	9.455414e-01	-1.072605e-04
Initialising	1.249875e+00	9.411011e-01	-1.079669e-04
Initialising	1.337247e+00	9.367104e-01	-1.083673e-04
Initialising	1.425472e+00	9.323616e-01	-1.088713e-04
Initialising	1.513637e+00	9.280205e-01	-1.091731e-04
Initialising	1.601314e+00	9.235764e-01	-1.098623e-04
Initialising	1.689669e+00	9.191551e-01	-1.097205e-04
Initialising	1.777368e+00	9.147720e-01	-1.100727e-04
Initialising	1.865682e+00	9.104080e-01	-1.102860e-04
Initialising	1.954124e+00	9.059334e-01	-1.106696e-04
Initialising	2.041673e+00	9.015160e-01	-1.106225e-04
Initialising	2.129693e+00	8.972054e-01	-1.110095e-04
Initialising	2.217826e+00	8.927307e-01	-1.113386e-04
Initialising	2.305307e+00	8.883858e-01	-1.113213e-04
Initialising	2.393963e+00	8.839378e-01	-1.113276e-04
Initialising	2.482052e+00	8.795662e-01	-1.111357e-04
Initialising	2.570083e+00	8.750954e-01	-1.112295e-04
Initialising	2.657711e+00	8.707809e-01	-1.115457e-04
Initialising	2.745798e+00	8.664474e-01	-1.114191e-04
Initialising	2.833463e+00	8.619461e-01	-1.115824e-04
Initialising	2.921882e+00	8.575516e-01	-1.119142e-04
Initialising	3.009813e+00	8.531532e-01	-1.122260e-04
Initialising	3.097531e+00	8.486786e-01	-1.115519e-04
Initialising	3.185331e+00	8.443909e-01	-1.120437e-04
Initialising	3.273284e+00	8.399315e-01	-1.118793e-04
Initialising	3.361876e+00	8.355560e-01	-1.121781e-04
Initialising	3.449354e+00	8.311234e-01	-1.120464e-04
Initialising	3.537803e+00	8.268929e-01	-1.118631e-04
Initialising	3.626167e+00	8.224068e-01	-1.124470e-04
Initialising	3.713741e+00	8.179131e-01	-1.124519e-04
Initialising	3.801922e+00	8.135948e-01	-1.128778e-04
Initialising	3.890182e+00	8.092194e-01	-1.123385e-04
Initialising	3.978024e+00	8.046799e-01	-1.124020e-04
Initialising	4.065855e+00	8.003807e-01	-1.126373e-04
Initialising	4.153232e+00	7.959938e-01	-1.125376e-04
Initialising	4.242099e+00	7.915840e-01	-1.127210e-04
Initialising	4.329255e+00	7.871857e-01	-1.128541e-04
Initialising	4.417870e+00	7.828102e-01	-1.130180e-04
Initialising	4.505979e+00	7.783775e-01	-1.128023e-04
Initialising	4.594205e+00	7.739601e-01	-1.127990e-04
Initialising	4.681345e+00	7.696190e-01	-1.127907e-04
Initialising	4.769449e+00	7.651291e-01	-1.131358e-04
Initialising	4.857384e+00	7.606964e-01	-1.130376e-04
Initialising	4.945468e+00	7.563095e-01	-1.127948e-04
Initialising	5.033895e+00	7.520294e-01	-1.131415e-04
Initialising	5.121879e+00	7.475739e-01	-1.127831e-04
Initialising	5.209482e+00	7.432938e-01	-1.127734e-04
Initialising	5.297432e+00	7.388420e-01	-1.128858e-04
Initialising	5.385308e+00	7.343674e-01	-1.132956e-04
Initialising	5.473481e+00	7.301941e-01	-1.130018e-04
Initialising	5.562097e+00	7.256813e-01	-1.130486e-04
Initialising	5.649428e+00	7.211723e-01	-1.134554e-04
Initialising	5.737769e+00	7.167969e-01	-1.134444e-04
Initialising	5.826104e+00	7.124214e-01	-1.130768e-04
Initialising	5.913380e+00	7.079391e-01	-1.132418e-04
Initialising	6.001928e+00	7.035446e-01	-1.132045e-04
Initialising	6.089428e+00	6.991425e-01	-1.132629e-04
Initialising	6.177404e+00	6.948013e-01	-1.133717e-04
Initialising	6.265381e+00	6.904259e-01	-1.131212e-04
Initialising	6.354074e+00	6.859856e-01	-1.134479e-04
Initialising	6.441663e+00	6.815033e-01	-1.136856e-04
Initialising	6.529743e+00	6.771545e-01	-1.134238e-04
Initialising	6.617557e+00	6.729050e-01	-1.130068e-04
Initialising	6.705901e+00	6.682777e-01	-1.139801e-04
Initialising	6.793496e+00	6.640396e-01	-1.131753e-04
Initialising	6.881271e+00	6.595840e-01	-1.134689e-04
Initialising	6.969789e+00	6.552773e-01	-1.137235e-04
Initialising	7.057730e+00	6.508636e-01	-1.137186e-04
Initialising	7.146122e+00	6.464577e-01	-1.136425e-04
Initialising	7.233811e+00	6.421814e-01	-1.134604e-04
Initialising	7.321542e+00	6.375885e-01	-1.140379e-04
Initialising	7.409908e+00	6.331978e-01	-1.138264e-04
Initialising	7.498053e+00	6.287842e-01	-1.138326e-04
Initialising	7.585477e+00	6.243935e-01	-1.138324e-04
Initialising	7.674029e+00	6.200638e-01	-1.139317e-04
Initialising	7.761307e+00	6.156425e-01	-1.139120e-04
Initialising	7.850213e+00	6.111374e-01	-1.140856e-04
Initialising	7.937518e+00	6.067543e-01	-1.142774e-04
Initialising	8.025242e+00	6.024055e-01	-1.139053e-04
Initialising	8.114189e+00	5.980301e-01	-1.138226e-04
Initialising	8.202175e+00	5.935707e-01	-1.139784e-04
Initialising	8.289324e+00	5.891533e-01	-1.143577e-04
Initialising	8.377663e+00	5.848122e-01	-1.138380e-04
Initialising	8.465331e+00	5.804329e-01	-1.141989e-04
Initialising	8.553589e+00	5.760689e-01	-1.141381e-04
Initialising	8.641437e+00	5.716820e-01	-1.143688e-04
Initialising	8.729318e+00	5.672760e-01	-1.140859e-04
Initialising	8.817281e+00	5.628052e-01	-1.142339e-04
Initialising	8.905520e+00	5.584679e-01	-1.138889e-04
Initialising	8.993669e+00	5.540466e-01	-1.140703e-04
Initialising	9.081619e+00	5.496674e-01	-1.146026e-04
Initialising	9.170168e+00	5.452499e-01	-1.140518e-04
Initialising	9.257739e+00	5.408669e-01	-1.144313e-04
Initialising	9.345656e+00	5.364189e-01	-1.143429e-04
Initialising	9.433525e+00	5.320473e-01	-1.143105e-04
Initialising	9.521238e+00	5.277138e-01	-1.143758e-04
Initialising	9.609481e+00	5.232925e-01	-1.144290e-04
Initialising	9.697592e+00	5.186920e-01	-1.147743e-04
Initialising	9.786062e+00	5.145264e-01	-1.145246e-04
Initialising	9.874109e+00	5.098839e-01	-1.146772e-04
